Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
3	0.25	0.4330127	1.0	0.0	59.166668	119.90471	443.0	0.0	1.0	1.4832398	5.0	0.0	366.4	358.91034	830.0	0.0	940.0833	943.9	11999	-0.039104298	-0.038928743	0.055455063	0.05137274	0.15041699	0.10000002	74.43816685676575
4	1.25	0.4330127	2.0	1.0	58.75	63.084763	150.0	0.0	2.4	1.1135529	5.0	1.0	83.4	46.221638	164.0	18.0	1000.0	1000.0	15999	0.23321867	0.23322752	-0.22819419	0.07913384	0.40904987	0.10000002	163.55931043624878
5	0.6	0.48989794	1.0	0.0	104.0	93.644005	274.0	0.0	0.7	1.0999999	3.0	0.0	175.3	196.05052	658.0	0.0	942.2	1000.0	19999	1.2330947	1.2331026	-1.225807	0.10349002	0.8245703	0.10000002	254.33187294006348
6	2.0	2.4494898	6.0	0.0	208.75	153.1982	382.0	23.0	1.8	1.5362291	5.0	0.0	236.0	295.8841	738.0	0.0	1000.0	952.6	23999	2.5458226	2.545738	-2.5281456	0.098227955	0.9487727	0.10000002	343.6295132637024
7	0.25	0.4330127	1.0	0.0	279.75	194.6232	539.0	0.0	1.4	1.1135528	4.0	0.0	289.3	223.53615	743.0	0.0	989.0	962.7	27999	3.4697685	3.4697857	-3.438873	0.11020807	0.89036363	0.10000002	434.77153396606445
8	1.5	1.118034	3.0	0.0	288.5	195.43861	532.0	0.0	2.0	1.9493588	6.0	0.0	308.1	238.40573	806.0	0.0	1000.0	1000.0	31999	3.8657472	3.8658109	-3.8260977	0.10880644	0.7743636	0.10000002	535.6630821228027
9	1.75	1.47902	4.0	0.0	418.25	208.84369	645.0	77.0	2.4	2.416609	9.0	0.0	181.4	152.69264	499.0	0.0	1000.0	1000.0	35999	3.8908298	3.8908284	-3.8425386	0.12044822	0.7921892	0.10000002	641.2750916481018
10	1.25	1.299038	3.0	0.0	359.5	240.83656	734.0	78.0	4.0	2.6832814	9.0	0.0	366.5	366.80984	960.0	0.0	1000.0	1000.0	39999	4.0867267	4.0867133	-4.0346727	0.1339935	0.8797244	0.10000002	747.1846656799316
11	4.25	2.384848	7.0	1.0	203.5	166.78503	433.0	8.0	4.1	3.5623026	10.0	0.0	197.8	182.42357	540.0	0.0	1000.0	1000.0	43999	4.1376204	4.137611	-4.079626	0.15947846	0.8771377	0.10000002	852.7313227653503
12	4.0	1.2247449	5.0	2.0	203.25	149.60844	458.0	76.0	2.7	2.7221317	9.0	0.0	265.7	220.67807	814.0	0.0	1000.0	1000.0	47999	4.3197613	4.319783	-4.2537427	0.17801812	0.9590059	0.10000002	958.6081192493439
13	3.25	1.9202864	6.0	1.0	111.75	133.85136	342.0	10.0	1.7	1.4177446	4.0	0.0	219.3	217.59277	792.0	1.0	1000.0	1000.0	51999	4.4662137	4.4660563	-4.3929768	0.20616789	0.94356287	0.10000002	1064.171053647995
14	2.25	1.0897248	4.0	1.0	282.0	255.04411	640.0	6.0	2.8	2.8913665	8.0	0.0	287.0	226.16232	644.0	0.0	1000.0	1000.0	55999	4.505306	4.5051613	-4.4219947	0.22428645	0.9534638	0.10000002	1163.4255352020264
15	1.75	0.8291562	3.0	1.0	315.75	59.423798	398.0	237.0	2.0	2.5690465	9.0	0.0	277.2	177.62366	691.0	62.0	1000.0	1000.0	59999	4.5276566	4.5275683	-4.442081	0.24960116	1.0662166	0.10000002	1254.399645805359
16	4.5	4.5	12.0	0.0	79.75	121.42976	289.0	0.0	2.6	2.9051678	9.0	0.0	274.2	221.85797	653.0	0.0	1000.0	1000.0	63999	4.8783445	4.8783283	-4.7885995	0.2735648	1.1810877	0.10000002	1347.9120738506317
17	2.5	2.0615528	6.0	1.0	252.75	188.03773	495.0	29.0	4.1	3.5623026	11.0	0.0	249.5	247.0588	891.0	0.0	1000.0	1000.0	67999	5.093434	5.0934267	-4.992413	0.28953862	1.1396557	0.10000002	1438.5602986812592
18	3.75	1.9202864	6.0	1.0	225.0	187.14566	507.0	0.0	2.8	2.8913662	8.0	0.0	262.5	251.55884	674.0	0.0	1000.0	1000.0	71999	5.138595	5.138607	-5.032369	0.29609033	1.2200689	0.10000002	1530.789836883545
19	3.5	2.291288	6.0	0.0	240.5	81.404854	362.0	146.0	3.4	2.764055	8.0	0.0	251.9	272.31064	794.0	0.0	1000.0	1000.0	75999	5.303531	5.303282	-5.196632	0.3310049	1.2876841	0.10000002	1623.1378700733185
20	4.5	1.118034	6.0	3.0	132.5	208.13637	492.0	0.0	5.2	4.5343137	14.0	0.0	293.1	252.52066	708.0	3.0	1000.0	1000.0	79999	5.462233	5.4621587	-5.3432474	0.3481171	1.2503599	0.10000002	1713.6158504486084
21	7.75	4.81534	13.0	0.0	119.5	133.44756	323.0	0.0	3.3	3.7429934	11.0	0.0	306.8	311.62823	859.0	0.0	1000.0	1000.0	83999	5.28893	5.288754	-5.1578593	0.3829078	1.2086622	0.10000002	1806.5677053928375
22	8.75	3.6996622	14.0	4.0	121.25	130.40585	339.0	0.0	1.6	2.3748684	8.0	0.0	221.3	194.3245	477.0	0.0	1000.0	1000.0	87999	5.220496	5.2203813	-5.0910697	0.40161133	1.2714415	0.10000002	1897.328492641449
23	5.25	4.43706	12.0	0.0	260.5	108.697975	383.0	85.0	5.3	4.6270943	12.0	0.0	347.1	333.4338	889.0	2.0	1000.0	1000.0	91999	5.3682923	5.368356	-5.2358794	0.4203477	1.3460249	0.10000002	1988.3625853061676
24	6.5	6.576473	17.0	0.0	229.25	222.12088	594.0	3.0	5.2	5.344156	16.0	0.0	321.7	258.0632	770.0	4.0	1000.0	1000.0	95999	5.584156	5.584044	-5.443987	0.46209514	1.4027615	0.10000002	2079.3665013313293
25	7.25	3.7666297	13.0	3.0	140.25	91.57067	250.0	19.0	4.2	5.173007	18.0	0.0	408.0	314.0573	874.0	0.0	1000.0	1000.0	99999	5.681269	5.6811485	-5.5309424	0.4707406	1.3942724	0.10000002	2170.4329328536987
26	4.75	3.112475	10.0	2.0	233.25	201.68834	490.0	35.0	6.0	4.669047	16.0	0.0	159.1	123.94471	363.0	0.0	1000.0	1000.0	103999	5.5398316	5.5398974	-5.3826528	0.47211054	1.3779596	0.10000002	2261.1941361427307
27	7.25	6.9056134	16.0	0.0	221.0	151.50082	385.0	33.0	3.7	4.2201896	13.0	0.0	445.6	302.94693	850.0	0.0	1000.0	1000.0	107999	5.4409537	5.4408407	-5.279083	0.5044982	1.4116952	0.10000002	2353.1367630958557
28	2.25	2.8613808	7.0	0.0	362.0	169.31775	620.0	171.0	4.4	1.8547237	7.0	1.0	426.8	235.68571	853.0	102.0	1000.0	1000.0	111999	5.5262256	5.5262246	-5.367876	0.5139866	1.4905902	0.10000002	2446.8532259464264
29	5.75	5.8470078	13.0	0.0	232.25	286.26944	722.0	1.0	2.4	2.497999	7.0	0.0	378.4	278.26685	934.0	124.0	1000.0	1000.0	115999	5.6771727	5.6771474	-5.517062	0.5190844	1.5324329	0.10000002	2537.0376031398773
30	7.0	4.1833	11.0	0.0	285.25	272.99667	731.0	3.0	4.6	6.2960305	16.0	0.0	406.4	341.82574	922.0	0.0	1000.0	1000.0	119999	5.7672906	5.767182	-5.5964317	0.5220824	1.5108956	0.10000002	2627.602573633194
31	6.5	6.22495	17.0	1.0	328.25	273.03513	757.0	0.0	6.5	6.07042	18.0	0.0	280.5	313.3644	779.0	0.0	1000.0	927.9	123999	5.788382	5.7883906	-5.6140594	0.5353397	1.512409	0.10000002	2718.83864235878
32	3.25	2.1650636	6.0	0.0	532.0	127.345985	669.0	325.0	6.7	6.2457986	19.0	0.0	307.3	220.36972	763.0	0.0	1000.0	1000.0	127999	5.671832	5.6717873	-5.4913173	0.53163767	1.4974618	0.10000002	2814.1179060935974
33	4.25	3.6314597	10.0	0.0	242.5	150.52824	476.0	108.0	5.5	4.7169905	16.0	0.0	220.8	176.64417	572.0	0.0	1000.0	1000.0	131999	5.389875	5.3899045	-5.19897	0.56144285	1.4722894	0.10000002	2908.9974896907806
34	1.75	1.7853571	4.0	0.0	296.25	153.78293	442.0	52.0	1.7	1.3453624	4.0	0.0	405.5	178.93645	732.0	0.0	1000.0	1000.0	135999	5.0479317	5.0480814	-4.8592763	0.55236036	1.4687626	0.10000002	3003.9789547920227
