Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	5.8	10.166613	26.0	0.0	1.9	2.118962	7.0	0.0	99.1	230.11496	786.0	0.0	687.0	512.0	3999	0.47158062	0.4422491	2.9206953	-0.6147324	0.47156194	0.44221923	2.9383137	-0.7075578	-0.84723794	1.0058701	4.0640016	-8.610449	-0.5653741	0.0037047917	68.90045428276062
2	0.0	0.0	0.0	0.0	31.6	38.830917	84.0	0.0	11.5	4.7169905	17.0	0.0	53.3	52.511047	170.0	0.0	907.6	880.4	7999	1.6145142	0.6798615	5.2219095	-0.62543947	1.6145111	0.6798017	5.1956644	-0.73757863	-0.67352444	1.1250062	5.427046	-8.421947	-1.7191398	0.006660416	159.35049414634705
3	1.5	1.5	3.0	0.0	68.75	57.189926	158.0	0.0	4.6	3.4985712	11.0	0.0	118.5	109.80642	345.0	0.0	919.75	777.4	11999	2.8775954	0.8570981	15.126823	-1.0713717	2.8775406	0.8571618	15.635827	-1.1169045	-0.5720663	1.1666486	6.1611853	-9.22664	-2.9811692	0.028790154	248.5946967601776
4	7.0	2.1213202	10.0	4.0	61.5	39.22053	124.0	21.0	10.0	3.34664	13.0	3.0	65.3	42.14036	157.0	17.0	1000.0	907.6	15999	4.094912	1.4613286	18.702047	-1.1712813	4.0947723	1.4620229	18.477362	-1.8981491	-0.42218405	1.2455544	8.834907	-10.178885	-4.1747775	0.10281162	341.9576313495636
5	7.0	3.0	12.0	4.0	51.25	40.6225	116.0	5.0	5.4	2.9393878	9.0	0.0	133.8	183.39128	659.0	5.0	1000.0	911.6	19999	5.4401217	2.396258	20.613615	-1.6683689	5.4399767	2.396058	21.679068	-1.8693265	-0.2296546	1.3454195	9.923125	-9.879347	-5.499617	0.102507554	435.50018215179443
6	9.5	1.5	11.0	7.0	120.0	95.96353	251.0	13.0	13.1	1.2206556	15.0	11.0	69.6	36.80815	123.0	3.0	1000.0	1000.0	23999	6.833053	3.149538	21.75091	-1.5174519	6.8329906	3.1492646	21.861683	-2.3653023	-0.03056489	1.4195136	9.741272	-10.203141	-6.8919435	0.094872214	530.1924571990967
7	11.25	2.8613808	15.0	7.0	94.25	41.811333	155.0	40.0	13.9	2.3853722	18.0	11.0	81.6	57.879528	221.0	6.0	1000.0	1000.0	27999	8.349725	3.6932106	24.133688	-1.3296382	8.349761	3.6929781	23.781208	-2.9736063	0.11053903	1.4681807	9.15852	-9.44379	-8.395632	0.11184289	625.6802854537964
8	11.5	4.7169905	17.0	4.0	48.5	49.590824	126.0	0.0	13.9	2.5079873	19.0	11.0	36.2	22.723557	70.0	0.0	1000.0	1000.0	31999	9.875866	4.152828	27.58961	-2.0049047	9.875815	4.1526685	27.032288	-3.3598373	0.18551569	1.4761572	8.262709	-10.60982	-9.909311	0.12408338	720.9279742240906
9	13.25	0.8291562	14.0	12.0	76.75	32.267437	121.0	30.0	15.0	2.408319	21.0	12.0	62.5	56.6873	181.0	0.0	1000.0	1000.0	35999	11.028165	4.3156824	29.034784	-1.7557974	11.028132	4.3156853	28.773592	-1.7603271	0.19163506	1.4546502	9.568929	-10.864765	-11.03901	0.13871454	816.8050599098206
10	12.75	2.384848	16.0	10.0	62.0	21.988634	87.0	35.0	13.8	2.2271059	17.0	10.0	56.9	36.1454	119.0	13.0	1000.0	973.8	39999	11.998094	4.4900923	30.559498	-1.6891961	11.9980135	4.490219	30.185688	-2.0473976	0.23370625	1.4506134	10.366005	-10.832652	-11.996338	0.14505367	911.6478581428528
