Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.2	0.40000004	1.0	0.0	67.4	96.32778	247.0	0.0	1.1	1.0440307	3.0	0.0	130.5	168.33078	490.0	0.0	787.0	951.0	3999	-0.07137223	1.610625	16.321724	-15.723911	-0.07138248	1.6105499	16.855003	-14.859746	-0.83715	1.1047262	12.595482	-8.510021	-0.020443965	0.032809723	75.57722449302673
2	0.25	0.4330127	1.0	0.0	73.25	85.186195	208.0	0.0	1.8	1.6613247	6.0	0.0	48.5	90.525406	307.0	0.0	865.75	1000.0	7999	0.6948546	3.651806	22.014229	-28.702349	0.69476086	3.6518617	21.803728	-29.65764	-0.25528333	1.6051666	12.41735	-9.673648	-0.85909206	0.083980426	173.1120126247406
3	0.4	0.8	2.0	0.0	29.0	58.0	145.0	0.0	1.0	0.8944272	2.0	0.0	16.6	49.8	166.0	0.0	897.6	943.6	11999	2.328949	4.280726	25.229591	-28.014889	2.3287313	4.2810163	24.827513	-28.110361	0.07513911	1.6921955	9.442663	-11.037348	-2.5234053	0.106451616	264.72552824020386
4	1.75	1.0897248	3.0	0.0	63.5	76.76425	188.0	0.0	3.9	2.8442924	9.0	0.0	96.3	106.26387	334.0	0.0	1000.0	1000.0	15999	4.0247846	4.3685713	27.897892	-22.939949	4.024868	4.3683686	27.764399	-23.246872	0.007328585	1.6367265	10.599402	-10.7047205	-4.181186	0.1333927	358.218549489975
5	3.0	1.7320508	4.0	0.0	73.0	87.41281	214.0	0.0	2.4	1.5620499	5.0	0.0	80.1	86.42621	240.0	0.0	1000.0	1000.0	19999	4.6435804	4.611913	37.407005	-23.212336	4.643354	4.6121664	36.84438	-22.438505	-0.111421004	1.5744975	12.235029	-11.3040695	-4.752005	0.17958505	455.786080121994
6	2.0	1.0	3.0	1.0	98.25	110.82052	269.0	0.0	2.7	2.1000001	6.0	0.0	91.6	109.67059	341.0	0.0	1000.0	1000.0	23999	4.8876724	4.740454	50.00706	-24.725437	4.8876886	4.7406416	49.386623	-24.941618	-0.18790133	1.5846347	10.205635	-11.012646	-4.979713	0.18074252	548.1749062538147
7	3.75	2.2776084	6.0	0.0	27.25	30.227264	73.0	0.0	5.4	3.693237	11.0	0.0	108.8	203.5666	697.0	0.0	1000.0	1000.0	27999	4.8718233	5.016462	61.339428	-24.474684	4.871525	5.0170445	61.230724	-24.202583	-0.13402787	1.6156332	10.752848	-9.178177	-4.951962	0.24023768	643.744460105896
8	4.0	2.5495098	7.0	0.0	28.25	39.23248	95.0	0.0	3.3	2.3685439	8.0	0.0	71.8	64.42639	200.0	0.0	1000.0	902.8	31999	5.07702	5.0320835	78.09444	-22.780037	5.0772715	5.0318956	79.810265	-23.221794	-0.12577264	1.6203046	11.052192	-8.901509	-5.154644	0.24398914	736.472498178482
9	5.25	4.145781	12.0	1.0	64.0	87.166504	214.0	0.0	6.4	1.7435596	9.0	3.0	43.4	30.516226	106.0	0.0	1000.0	1000.0	35999	5.1666245	5.2905703	89.141975	-20.235882	5.166504	5.290699	90.5194	-20.574266	-0.12770541	1.5915363	12.001575	-12.435478	-5.226104	0.2518764	831.8168869018555
10	5.0	2.1213202	7.0	2.0	65.0	69.57729	184.0	8.0	7.2	4.422669	15.0	1.0	65.6	56.398933	216.0	0.0	1000.0	1000.0	39999	5.204194	5.746411	107.980225	-23.552444	5.2037883	5.746196	105.51056	-23.668867	-0.12717442	1.5753809	10.628081	-11.613777	-5.2556415	0.31002823	926.513658285141
