Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	76.25	45.805977	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	838.5	1000.0	3999	2.9001489	1.5915118	15.277254	-2.3436792	2.900096	1.5915122	15.4082365	-1.431793	-6.7446933	1.9549593	25.236383	-16.72702	-3.3437269	0.03804205	82.52317595481873
2	0.14285715	0.3499271	1.0	0.0	25.714285	34.676937	94.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	640.8571	1000.0	7999	9.11471	2.5743241	28.43006	-5.3165603	9.11472	2.5739703	28.539219	-3.9281473	-4.5602098	3.1893697	32.475636	-18.523254	-9.643992	0.12114585	181.43860459327698
3	0.0	0.0	0.0	0.0	75.4	55.312202	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	769.4	1000.0	11999	16.654903	3.5915515	46.78145	-5.8108616	16.654839	3.5922618	46.882786	-6.092298	-2.7097309	3.8832567	38.530403	-17.278267	-17.260408	0.254727	280.0636923313141
4	0.0	0.0	0.0	0.0	39.0	21.679483	57.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	829.75	1000.0	15999	22.062855	4.099643	57.445545	-7.103754	22.062916	4.0996275	57.16048	-7.253423	-3.588291	3.641277	47.3684	-18.446976	-22.520031	0.39356628	379.843642950058
5	0.0	0.0	0.0	0.0	148.25	80.611336	228.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	24.539757	4.285459	57.674595	-8.942087	24.539705	4.2853584	57.807697	-10.601662	-4.2138305	3.3046217	43.66886	-17.627398	-24.90981	0.4569909	480.26170897483826
6	0.5	0.8660254	2.0	0.0	109.25	114.22429	297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	25.665113	4.2931414	61.133064	-10.009493	25.665127	4.2925496	60.943424	-9.575398	-4.544677	3.1589437	43.855225	-19.005585	-26.001339	0.43662086	579.3045506477356
7	0.5	0.5	1.0	0.0	85.0	109.66768	268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	26.1456	4.282873	67.53923	-9.604652	26.145796	4.282074	66.06593	-11.700203	-4.975909	2.9732962	45.978687	-17.13426	-26.451468	0.44745025	679.130096912384
8	0.25	0.4330127	1.0	0.0	46.0	33.35416	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	26.241528	4.3337727	74.68028	-12.886561	26.24157	4.3338923	75.99579	-9.190166	-5.1816463	2.9044316	44.181393	-16.555992	-26.53494	0.44351277	778.705623626709
9	0.0	0.0	0.0	0.0	37.0	64.08588	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	26.153	4.5181613	81.49972	-9.821083	26.152933	4.518193	82.13317	-10.602932	-5.325291	2.8654468	41.01946	-18.681515	-26.43494	0.45490175	878.3360514640808
10	0.0	0.0	0.0	0.0	25.75	31.846312	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	25.964544	4.835125	86.52092	-8.830635	25.964462	4.835355	86.23376	-10.704474	-5.436418	2.8238027	45.56793	-16.68022	-26.241497	0.46799633	978.0051023960114
11	0.25	0.4330127	1.0	0.0	75.5	75.50331	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	43999	25.791212	4.9527564	91.46798	-8.131951	25.791323	4.951891	91.47365	-12.587229	-5.6209264	2.7122936	41.347153	-16.89961	-26.05636	0.5202855	1078.0102334022522
12	0.5	0.5	1.0	0.0	83.25	113.607605	279.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	47999	25.524734	4.877756	88.73237	-10.62139	25.524775	4.87682	88.536255	-8.469913	-5.7417674	2.637499	45.094166	-19.021896	-25.788828	0.4814902	1178.0650856494904
13	0.25	0.4330127	1.0	0.0	31.75	31.987303	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	51999	25.313133	5.1951113	86.27542	-8.538247	25.313118	5.1948805	87.226555	-9.06229	-5.806912	2.6429224	54.83152	-17.467016	-25.572474	0.5003549	1277.216551542282
14	1.0	0.70710677	2.0	0.0	121.5	110.834335	256.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	55999	25.20471	5.1026607	77.39476	-11.633632	25.204735	5.102093	77.025505	-10.896991	-5.9456854	2.531115	41.67701	-16.565233	-25.45957	0.4764342	1376.5353207588196
15	0.4	0.8000001	2.0	0.0	83.2	105.69655	265.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	937.6	1000.0	59999	24.90916	4.743976	68.72677	-13.868381	24.909164	4.743595	68.4841	-9.956464	-6.0647345	2.4851744	52.990948	-16.990995	-25.164143	0.4804012	1475.855230808258
16	0.75	0.8291562	2.0	0.0	79.25	45.630993	129.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	63999	24.704596	4.5574975	78.40433	-11.66098	24.704708	4.5567007	73.2047	-8.81917	-6.1353536	2.458677	52.0264	-16.706608	-24.95663	0.4711971	1574.9720454216003
17	0.5	0.5	1.0	0.0	158.25	51.177998	244.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	67999	24.489067	4.4359217	87.23333	-9.458209	24.48909	4.4355464	86.13318	-9.287167	-6.2514224	2.4258933	43.517754	-15.793223	-24.739	0.5033899	1674.0322749614716
18	0.25	0.4330127	1.0	0.0	94.25	92.10965	203.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	71999	24.335962	4.7960424	122.867035	-10.690567	24.336004	4.7936654	124.4609	-9.925436	-6.2320995	2.6046014	51.779675	-17.256742	-24.593391	0.6182412	1773.8555624485016
19	0.25	0.4330127	1.0	0.0	46.0	46.776062	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	75999	24.43832	5.98977	147.99353	-8.716497	24.438438	5.987176	147.27965	-7.2274218	-6.093587	2.898478	41.856117	-16.240395	-24.704231	0.9509393	1873.199021577835
20	1.0	0.70710677	2.0	0.0	43.75	46.08891	108.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	79999	24.802773	7.935015	162.82353	-8.365759	24.802807	7.935277	164.10959	-7.464265	-5.8649163	3.3188772	49.309685	-16.978247	-25.086983	1.3755566	1973.3169195652008
21	0.25	0.4330127	1.0	0.0	130.25	109.32606	303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	83999	25.28354	11.060065	189.2802	-7.918461	25.28361	11.058196	190.59705	-7.606831	-5.6074533	3.821689	46.46789	-16.764172	-25.595884	2.2017622	2072.68879032135
22	0.0	0.0	0.0	0.0	90.25	86.50542	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	26.263918	15.845307	217.39603	-10.112926	26.263922	15.844785	215.21448	-7.7305984	-5.1767364	4.408878	44.890373	-18.180363	-26.609125	3.548667	2172.0447533130646
23	0.0	0.0	0.0	0.0	32.0	55.425625	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	91999	27.531677	20.37172	255.19444	-8.639629	27.53184	20.369005	254.4052	-12.484624	-4.6634946	4.9526105	56.650764	-16.652508	-27.915089	5.2407045	2271.316464662552
24	0.0	0.0	0.0	0.0	50.5	87.46857	202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	95999	29.543634	25.960241	294.88388	-9.500897	29.542934	25.961859	294.58487	-6.8908286	-3.8236618	5.7273803	55.348007	-16.400219	-29.999918	8.637457	2371.4025354385376
25	0.25	0.4330127	1.0	0.0	195.75	161.58957	368.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	99999	32.84419	33.93448	324.18356	-11.683153	32.843166	33.934387	323.08652	-9.087841	-2.7199748	6.5333886	53.69937	-16.695616	-33.405415	15.289048	2471.5376074314117
26	0.0	0.0	0.0	0.0	12.0	20.784609	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	987.5	1000.0	103999	38.020664	43.160652	365.47247	-7.973412	38.019524	43.16499	364.04718	-11.284098	-1.1737851	7.399897	50.33328	-16.444088	-38.74901	25.644918	2571.8040964603424
27	0.0	0.0	0.0	0.0	10.5	18.186533	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	933.75	1000.0	107999	45.657864	56.026035	536.66	-11.71043	45.65829	56.032345	492.08148	-10.074841	0.73234284	8.147735	54.911182	-17.205513	-46.641544	44.6435	2672.094579219818
28	0.0	0.0	0.0	0.0	27.0	36.62649	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	111999	58.200657	75.022995	630.4213	-9.858601	58.201485	75.025406	615.8097	-7.8694334	3.7716243	9.085823	59.791744	-18.067133	-59.735962	77.446465	2771.602570295334
29	0.0	0.0	0.0	0.0	28.0	42.918526	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	115999	76.42613	97.15203	847.0262	-13.643072	76.42662	97.15396	867.5989	-11.035425	6.5929623	9.515346	69.71492	-20.415565	-78.44956	121.9046	2871.257026910782
30	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	119999	106.2345	128.28787	1140.6583	-16.38195	106.23443	128.2958	1140.736	-10.042056	9.882832	9.998223	70.470215	-16.27409	-109.07425	200.18774	2970.1826853752136
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	123999	144.70018	163.38927	1595.0927	-9.468575	144.69641	163.39551	1588.7876	-12.093593	13.263589	10.347756	75.308716	-15.922632	-148.52794	314.50577	3069.433671474457
32	0.0	0.0	0.0	0.0	115.25	199.61885	461.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	127999	196.52637	208.53363	2192.0718	-7.5253778	196.52248	208.55489	2195.0564	-10.09679	16.925356	10.613134	101.26093	-19.232176	-201.6641	496.2548	3169.3714594841003
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	131999	260.72946	254.41418	2762.503	-34.59969	260.73047	254.42134	2770.2144	-13.349321	20.752056	10.885076	104.14345	-14.535203	-267.46497	738.8069	3267.766499042511
34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	135999	343.741	308.05338	3573.7288	-43.592514	343.74637	308.06497	3649.829	-23.502895	24.610043	11.343685	96.04218	-14.37437	-352.43124	1043.8817	3367.323365211487
35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	139999	450.09348	374.96484	4403.3296	28.837723	450.0956	374.96307	4417.343	11.484862	28.406792	11.595859	120.71943	-13.175722	-460.8175	1466.7065	3466.8429276943207
36	0.0	0.0	0.0	0.0	80.75	139.8631	323.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	143999	573.06104	452.7217	5877.765	34.017937	573.06287	452.6993	5789.444	10.654563	31.982958	12.065521	128.55037	-10.50971	-586.29425	2042.0242	3566.5156490802765
37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	147999	725.3221	554.35236	7068.0513	42.49492	725.3185	554.3872	6989.8145	-37.97702	35.855408	13.061928	133.93921	-19.905325	-741.8279	2908.7312	3665.496744632721
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	151999	913.386	675.309	8510.961	20.23129	913.38904	675.3108	8636.463	-24.54514	39.58849	14.205228	170.49905	-5.4466705	-932.98175	4089.7437	3764.2825689315796
39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	155999	1134.4113	812.77124	10288.204	-39.36549	1134.399	812.86017	10446.938	54.60371	44.45328	15.689929	171.77097	-5.5322285	-1159.1394	5863.076	3864.107169866562
40	0.0	0.0	0.0	0.0	88.5	153.2865	354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	159999	1410.0841	996.3404	11626.424	91.20994	1410.0686	996.3897	11863.904	81.736435	49.18146	16.77212	193.56071	-1.8249788	-1440.1804	8598.373	3963.2658276557922
41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	163999	1744.2811	1218.6426	14238.969	193.50916	1744.2714	1218.7273	14311.06	145.44077	53.57823	17.784964	205.62654	-0.6823206	-1779.3857	11935.374	4061.9610538482666
