Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.5	0.5	1.0	0.0	76.5	63.342323	176.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	839.75	1000.0	3999	2.7931159	1.6947138	16.641771	-1.7597475	2.7931435	1.6949108	16.604712	-2.236612	-6.5868635	2.0654671	14.691937	-18.426876	-3.2438936	0.04552771	94.18841004371643
2	0.6666667	0.74535596	2.0	0.0	50.833332	70.64564	192.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	756.5	1000.0	7999	9.001754	2.9610217	26.837486	-5.892892	9.001531	2.962391	27.487007	-4.2789454	-4.1765885	3.2888818	18.735287	-19.342936	-9.559302	0.15828717	199.49449467658997
3	0.0	0.0	0.0	0.0	23.0	27.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	778.75	1000.0	11999	17.230593	3.728999	41.137413	-6.215282	17.23039	3.7305896	40.81473	-7.9483395	-1.8729463	4.096207	26.420254	-17.88909	-17.889923	0.3280952	307.6716616153717
4	0.5	0.5	1.0	0.0	54.75	27.99442	89.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	22.560387	4.01104	52.602707	-7.3331466	22.5604	4.011547	52.52003	-10.544056	-3.0376663	3.6707337	31.554882	-17.189758	-23.030464	0.41306776	413.32716941833496
5	0.5	0.5	1.0	0.0	53.25	51.804317	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	24.92791	4.4009857	55.449417	-9.7459135	24.92794	4.400779	55.406933	-9.359686	-3.6090238	3.4406652	34.962467	-17.40907	-25.314362	0.45578587	517.2171819210052
6	1.0	0.8944272	2.0	0.0	19.6	34.4186	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	992.8	1000.0	23999	26.012072	4.7774434	53.938786	-9.058696	26.012068	4.777957	54.820724	-10.967308	-3.9705622	3.2973075	29.141739	-18.463594	-26.361256	0.5400145	619.2124741077423
7	0.25	0.4330127	1.0	0.0	34.75	60.188766	139.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	26.73133	4.861453	53.67396	-10.235061	26.73116	4.8621025	56.078365	-11.853848	-4.134926	3.2438881	28.574543	-16.89402	-27.066128	0.5284011	722.1026141643524
8	0.5	0.5	1.0	0.0	33.5	32.599846	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	26.883545	5.0737658	59.16127	-7.3080416	26.883467	5.0745664	60.84983	-9.604728	-4.1929626	3.27955	36.452316	-16.366219	-27.195808	0.58032995	825.8904724121094
9	0.0	0.0	0.0	0.0	52.25	33.66285	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	26.823063	5.0922704	58.121	-8.35538	26.82299	5.094007	58.496426	-11.407341	-4.2443786	3.2409887	31.148396	-18.82137	-27.119947	0.5717522	929.1048514842987
10	0.0	0.0	0.0	0.0	30.0	51.961525	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	26.518524	5.0391345	56.41223	-6.895515	26.518362	5.041141	56.754524	-9.033205	-4.5936055	3.092132	37.097664	-17.55135	-26.796894	0.5706082	1032.9174447059631
