Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	26.5	45.899345	106.0	0.0	0.1	0.29999998	1.0	0.0	107.5	152.5826	451.0	0.0	1000.0	664.8	3999	0.53370744	0.3481724	2.215947	-0.55958354	0.53370047	0.34817746	2.2184381	-0.3541528	-1.1834263	0.607873	1.4838312	-9.836712	-0.6078642	0.0013357523	67.61266016960144
2	0.0	0.0	0.0	0.0	10.75	18.619547	43.0	0.0	1.5	1.5	4.0	0.0	49.1	43.85989	118.0	0.0	1000.0	589.3	7999	1.8245839	0.8306765	6.1151304	-0.1568816	1.8245972	0.8307631	6.1115365	-0.16096377	-0.7253076	0.87479854	2.6344028	-8.961645	-1.9422163	0.0038971957	148.70487570762634
3	1.5	1.6583124	4.0	0.0	43.0	45.491756	107.0	0.0	1.9	2.9816105	10.0	0.0	98.3	69.17954	250.0	0.0	1000.0	924.2	11999	3.7590575	1.408153	14.300068	0.4792561	3.759098	1.4081682	14.394244	0.50671184	-0.45341212	1.031583	4.2182064	-10.253258	-3.899244	0.014386486	235.5739619731903
4	5.25	3.5619516	10.0	0.0	35.0	23.37734	62.0	0.0	8.1	3.3301651	12.0	0.0	52.8	27.242613	93.0	0.0	1000.0	1000.0	15999	5.517461	1.8307813	22.417784	0.95456004	5.5174837	1.8307408	22.341246	0.89617336	-0.33497566	1.1374394	5.069837	-10.904013	-5.6176124	0.033934798	326.4406273365021
5	10.25	0.4330127	11.0	10.0	43.25	42.64021	111.0	0.0	10.0	3.5496478	14.0	1.0	58.6	29.152016	103.0	15.0	1000.0	918.3	19999	7.174158	2.635075	23.703629	0.36197498	7.1741743	2.6350727	23.599188	0.47246864	-0.16244239	1.250029	5.9488974	-10.442573	-7.2680326	0.053700663	415.0548858642578
6	10.5	1.5	13.0	9.0	67.75	39.473885	132.0	32.0	10.0	3.6878178	13.0	0.0	51.4	30.063932	106.0	0.0	1000.0	1000.0	23999	9.177389	3.2759125	27.309177	0.5846844	9.17739	3.2758377	26.7061	0.8656273	-0.024579214	1.2795697	8.286028	-12.534481	-9.262832	0.07478102	505.15889978408813
7	11.25	0.4330127	12.0	11.0	64.0	19.836834	86.0	40.0	12.1	0.83066237	14.0	11.0	49.2	28.272955	113.0	13.0	1000.0	1000.0	27999	11.085538	3.5917306	30.165558	1.6991845	11.085548	3.5918276	28.892164	1.4675524	0.054249708	1.3000224	7.3613367	-10.709641	-11.154039	0.08562097	595.7087497711182
8	11.75	1.9202864	14.0	9.0	53.75	31.641546	79.0	0.0	10.8	2.6758177	14.0	4.0	76.9	50.40526	164.0	0.0	1000.0	1000.0	31999	12.6903515	3.7030928	30.044266	2.7090394	12.690347	3.7032068	29.217726	2.5789328	0.050890654	1.3023525	7.368902	-11.697846	-12.744667	0.101980545	686.3063247203827
9	11.5	1.8027756	14.0	9.0	78.0	35.881752	125.0	24.0	12.4	2.0591261	15.0	9.0	47.8	36.725468	113.0	0.0	1000.0	1000.0	35999	14.021647	3.8329887	30.62342	2.8666368	14.021753	3.8326604	30.60655	3.5362997	0.05802295	1.3061346	6.69761	-11.36158	-14.059634	0.119949035	777.3429045677185
10	10.0	0.70710677	11.0	9.0	55.5	25.144583	84.0	29.0	13.0	1.7320508	15.0	10.0	55.1	39.203186	110.0	0.0	1000.0	1000.0	39999	15.098045	3.9430943	32.397266	1.6301206	15.09814	3.9424484	33.046196	2.7884216	0.09506783	1.320286	7.4664564	-9.495952	-15.12549	0.1352074	868.3727407455444
11	11.0	1.0	12.0	10.0	47.25	27.69815	79.0	5.0	12.8	1.4696938	15.0	9.0	33.6	18.194504	63.0	0.0	1000.0	1000.0	43999	16.010084	3.9550037	32.655907	0.9996337	16.010122	3.9543467	33.169132	1.5066662	0.082511894	1.3035405	5.9438987	-10.740009	-16.026743	0.14678854	958.2733595371246
12	11.25	1.47902	13.0	9.0	44.25	7.495832	56.0	36.0	11.9	1.0440307	13.0	10.0	58.6	40.234814	126.0	0.0	1000.0	1000.0	47999	16.729992	3.943658	34.066177	0.060331225	16.730124	3.9427545	34.278202	1.156941	0.04114372	1.2915099	7.8967605	-9.637889	-16.73782	0.1586548	1049.0948429107666
13	11.5	0.8660254	13.0	11.0	43.25	29.994791	81.0	0.0	12.1	1.3000001	15.0	10.0	66.8	33.18976	120.0	0.0	1000.0	1000.0	51999	17.264717	3.9814951	37.940044	-0.14108527	17.264818	3.9807715	37.713753	0.8175231	0.010684359	1.2704252	7.6756544	-11.068937	-17.263536	0.16383547	1139.4939308166504
14	11.75	0.4330127	12.0	11.0	53.75	8.699857	63.0	40.0	12.3	1.5524175	15.0	10.0	56.7	42.303783	136.0	3.0	1000.0	1000.0	55999	17.68745	3.9607644	46.627747	-0.06165552	17.68748	3.9598238	45.54761	1.1128634	0.007973693	1.2688998	7.794377	-12.766891	-17.678356	0.18174005	1230.385273694992
15	11.0	0.70710677	12.0	10.0	87.25	36.87394	145.0	48.0	11.8	1.5362291	14.0	8.0	57.7	38.760933	146.0	7.0	1000.0	1000.0	59999	18.012953	3.9010348	49.178284	-0.84202844	18.013021	3.9002407	49.185787	1.3401297	-0.018057281	1.2520187	8.548047	-11.384918	-17.997356	0.17811006	1321.018470287323
16	12.5	1.118034	14.0	11.0	45.0	30.675724	84.0	0.0	12.7	0.90000004	15.0	12.0	58.9	32.47291	109.0	0.0	1000.0	1000.0	63999	18.191793	3.8706195	49.71298	0.3158818	18.191858	3.8697133	50.004776	1.6299553	-0.058948174	1.2216974	7.3649297	-9.674047	-18.167862	0.17418909	1411.9572548866272
17	11.5	1.6583124	13.0	9.0	34.25	26.98495	79.0	12.0	12.6	1.8	17.0	10.0	48.0	37.92888	122.0	0.0	1000.0	1000.0	67999	18.30615	3.873096	52.16852	0.83979386	18.306164	3.8724022	51.56011	1.8698161	-0.05856478	1.2250686	7.2924137	-9.843386	-18.278635	0.18066654	1502.5634999275208
18	12.0	1.2247449	13.0	10.0	46.5	28.049065	89.0	15.0	12.5	1.4317821	15.0	10.0	53.6	36.636593	125.0	0.0	1000.0	1000.0	71999	18.414772	3.843432	52.87747	0.4960366	18.41487	3.8424106	53.551594	1.7039595	-0.07259112	1.2252876	7.8942256	-10.495478	-18.385473	0.17791805	1593.031229019165
19	11.0	1.2247449	12.0	9.0	76.0	34.73471	120.0	25.0	12.6	1.1135529	14.0	11.0	45.1	26.12451	73.0	0.0	1000.0	1000.0	75999	18.497507	3.8385196	55.367733	-0.506777	18.497522	3.8377059	54.44278	1.6527226	-0.09802365	1.2092212	7.211482	-10.932892	-18.465239	0.17614539	1683.3836817741394
20	12.0	1.5811388	14.0	10.0	53.75	36.12738	96.0	0.0	12.4	0.8	14.0	11.0	38.8	22.807016	81.0	11.0	1000.0	1000.0	79999	18.563932	3.809243	61.253765	-0.15769649	18.564007	3.8087559	59.249672	1.637876	-0.100846946	1.2167333	7.195769	-12.613465	-18.528458	0.18094067	1773.3191878795624
21	11.25	1.7853571	13.0	9.0	41.75	27.132776	76.0	0.0	12.7	1.0049876	14.0	10.0	43.4	19.74943	68.0	0.0	1000.0	1000.0	83999	18.628824	3.734205	59.119133	0.5660641	18.62882	3.7335591	60.241673	2.0303495	-0.10273194	1.2079132	7.6084743	-12.355718	-18.5919	0.17617463	1863.468908071518
22	12.25	1.299038	14.0	11.0	29.0	31.670176	76.0	0.0	12.4	1.8547237	15.0	8.0	80.3	83.17337	301.0	9.0	1000.0	1000.0	87999	18.651365	3.7002673	56.658203	0.03405583	18.651348	3.7000268	56.001045	2.0233881	-0.121611364	1.2010775	8.122919	-12.207533	-18.611372	0.1729758	1953.78054022789
23	12.0	0.70710677	13.0	11.0	52.75	22.598396	78.0	17.0	12.5	0.67082036	14.0	12.0	49.3	26.465261	83.0	0.0	1000.0	1000.0	91999	18.66404	3.6574278	55.167736	1.33126	18.664003	3.657049	54.134266	2.2469776	-0.14728957	1.1887844	10.763171	-11.61616	-18.624725	0.16330393	2045.0844640731812
24	11.5	1.118034	13.0	10.0	56.75	34.931183	107.0	12.0	11.1	3.3600595	14.0	2.0	45.2	30.327545	87.0	0.0	1000.0	1000.0	95999	18.713238	3.6131477	54.581417	1.0880893	18.71317	3.6129017	51.967106	2.6176639	-0.1390891	1.1813319	8.6097	-9.157974	-18.672785	0.16351469	2136.7350544929504
25	12.25	0.4330127	13.0	12.0	36.25	15.28684	62.0	23.0	12.9	1.3747728	16.0	11.0	48.8	38.587044	144.0	9.0	1000.0	1000.0	99999	18.758266	3.5945046	51.605457	2.8895795	18.758293	3.5942643	51.833443	3.2471719	-0.15011105	1.1727082	8.324572	-10.852185	-18.718866	0.16046366	2227.9779510498047
26	12.25	0.8291562	13.0	11.0	48.25	10.42533	64.0	35.0	13.1	0.9433981	14.0	11.0	46.8	33.91401	105.0	0.0	1000.0	1000.0	103999	18.794823	3.5751495	50.648468	2.5206363	18.794765	3.5748887	51.126564	3.5429592	-0.14733005	1.1699256	7.394975	-10.681823	-18.753239	0.15862747	2317.8373589515686
27	12.25	0.8291562	13.0	11.0	24.25	27.058964	69.0	0.0	11.7	3.0347981	15.0	4.0	53.1	30.471134	95.0	0.0	1000.0	1000.0	107999	18.868267	3.5506554	52.052353	2.7792273	18.868256	3.5504084	52.72874	3.5729442	-0.16026233	1.1596453	8.929604	-10.799111	-18.826225	0.15680243	2408.4177553653717
28	11.75	1.47902	14.0	10.0	63.0	16.807735	79.0	36.0	11.9	2.507987	15.0	5.0	40.4	30.825964	99.0	0.0	1000.0	1000.0	111999	18.926153	3.5526075	56.918465	1.8822671	18.926119	3.5528002	55.206818	3.488199	-0.16897239	1.1537179	7.108659	-10.543452	-18.884066	0.1661448	2498.0331978797913
29	12.0	1.4142135	14.0	10.0	48.25	33.855392	82.0	0.0	11.6	2.7276363	15.0	5.0	38.2	47.050613	163.0	0.0	1000.0	1000.0	115999	18.972025	3.543924	55.96	2.1971383	18.972012	3.543779	56.66929	3.391701	-0.18222348	1.144981	8.679451	-10.082742	-18.927954	0.16572298	2587.691700220108
30	12.5	0.8660254	13.0	11.0	25.75	22.40954	54.0	0.0	13.0	1.5491934	16.0	11.0	42.6	26.108236	83.0	0.0	1000.0	1000.0	119999	19.000246	3.5277035	59.1417	1.982054	19.000227	3.5275438	60.061157	3.5712574	-0.17006733	1.1509626	7.1657863	-9.204908	-18.955711	0.16461447	2678.485166311264
31	11.75	1.299038	14.0	11.0	58.75	45.554226	115.0	0.0	12.8	1.4	16.0	11.0	59.8	25.46684	95.0	23.0	1000.0	1000.0	123999	19.038973	3.5271766	60.01417	1.9980332	19.039013	3.5271263	55.45138	3.3304677	-0.18832865	1.1351221	8.410347	-9.986478	-18.993786	0.1645954	2769.237689256668
32	11.0	0.70710677	12.0	10.0	79.25	46.375504	118.0	0.0	12.3	1.1874342	15.0	11.0	47.1	28.877153	90.0	0.0	1000.0	1000.0	127999	19.061165	3.50715	56.678898	2.6211338	19.061153	3.5068798	58.192623	3.1880744	-0.18069285	1.1360543	7.348396	-10.493545	-19.015467	0.1640923	2859.8602590560913
33	13.25	0.8291562	14.0	12.0	38.25	21.229403	65.0	6.0	12.6	1.4966631	15.0	11.0	61.7	29.560278	96.0	0.0	1000.0	1000.0	131999	19.086994	3.4863553	60.3909	1.3498597	19.086985	3.4860399	59.901257	3.0610037	-0.1780296	1.1368783	7.2831182	-11.5345955	-19.040792	0.16799177	2950.6179070472717
34	10.75	0.4330127	11.0	10.0	89.0	47.801674	130.0	12.0	12.4	1.56205	15.0	10.0	69.3	45.561058	136.0	4.0	1000.0	1000.0	135999	19.136688	3.4709432	61.375008	2.8371496	19.13666	3.4708984	60.857975	3.5826325	-0.19430463	1.1253729	10.386723	-10.778182	-19.090876	0.16938886	3041.797605752945
