Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.64031243	2.0	0.0	34.9	86.962585	295.0	0.0	1000.0	672.1	3999	0.5150283	0.29636472	1.8881986	-0.4283111	0.51502633	0.29639578	1.861878	-0.37395847	-1.2660409	0.46997872	2.0692854	-8.176667	-0.5849755	0.00086658413	73.4218864440918
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.183216	3.0	0.0	81.9	59.17339	201.0	0.0	1000.0	913.5	7999	1.5087731	0.57516015	4.9600654	0.19996107	1.5087901	0.5751101	4.961786	0.20303008	-0.967545	0.7699027	2.7458649	-9.725014	-1.5980164	0.0022757086	167.29329109191895
3	1.25	2.1650636	5.0	0.0	9.25	16.02147	37.0	0.0	0.5	0.67082036	2.0	0.0	35.9	30.431726	97.0	0.0	1000.0	786.6	11999	2.9244838	0.9435437	11.884528	0.7219606	2.9245038	0.9433923	12.037612	0.71220416	-0.6812883	0.91439426	4.542289	-9.480616	-3.0341465	0.0196527	260.9909083843231
4	1.5	1.5	4.0	0.0	105.25	46.083485	146.0	27.0	0.6	0.66332495	2.0	0.0	65.8	62.015804	221.0	0.0	1000.0	1000.0	15999	4.2510586	1.63012	13.6391115	-13.667739	4.2512255	1.6295315	13.369771	-13.093785	-0.44101217	1.1162555	8.30884	-10.840906	-4.3372326	0.036880154	355.37613797187805
5	5.25	3.8971143	9.0	0.0	101.5	120.98863	307.0	0.0	3.5	2.6172504	9.0	0.0	137.8	251.1696	844.0	0.0	1000.0	1000.0	19999	4.7953625	2.8178108	23.526358	-17.25812	4.813981	2.7580433	23.365765	-16.691084	-0.24035756	1.3105246	8.06954	-10.606544	-4.8811297	0.22411434	447.38807010650635
6	7.75	2.046338	11.0	6.0	53.75	31.235996	77.0	0.0	2.7	3.132092	10.0	0.0	28.3	38.123615	127.0	0.0	1000.0	1000.0	23999	5.5741296	3.7486804	28.484686	-22.131035	5.5774918	3.7376199	27.707169	-21.690784	-0.13761942	1.4158306	8.852939	-10.56745	-5.663749	0.16613966	541.4160497188568
7	5.0	1.8708287	7.0	2.0	165.0	84.66699	288.0	75.0	3.7	3.2264533	10.0	0.0	26.7	41.439236	134.0	0.0	1000.0	1000.0	27999	6.4338408	4.262312	38.161648	-22.556416	6.4339375	4.261086	37.899864	-22.758638	-0.08985004	1.451137	9.48304	-10.696576	-6.517995	0.17006128	634.2692213058472
8	6.0	1.2247449	8.0	5.0	56.0	39.37639	100.0	0.0	3.2	2.712932	8.0	0.0	34.5	48.859493	161.0	0.0	1000.0	858.8	31999	7.0919766	4.847466	39.995358	-19.401405	7.097517	4.8319674	39.66571	-20.069132	-0.03817128	1.4896072	9.223815	-9.746108	-7.1590943	0.26885602	725.9152865409851
9	5.2	4.166533	11.0	0.0	10.8	9.846827	25.0	0.0	3.8	3.3406584	10.0	0.0	16.2	20.908371	63.0	0.0	718.8	798.3	35999	7.5339518	5.2585545	38.218323	-18.96306	7.5362887	5.250134	38.29988	-18.99839	0.0067066075	1.5000774	11.423178	-9.258332	-7.5813694	0.31994188	817.6673622131348
10	7.5	3.2015622	12.0	4.0	26.0	18.587631	46.0	0.0	5.4	4.521062	13.0	0.0	19.4	18.133945	52.0	0.0	1000.0	1000.0	39999	7.89863	5.273156	33.251713	-26.615484	7.8998895	5.268946	33.47806	-24.879549	-0.009367068	1.4661018	9.701518	-11.143401	-7.939988	0.30082712	911.9201180934906
11	5.75	1.47902	8.0	4.0	83.25	93.61991	238.0	0.0	6.2	3.3704598	13.0	2.0	32.0	32.566853	95.0	0.0	1000.0	1000.0	43999	8.198566	5.3468204	33.00472	-28.13859	8.200613	5.3404856	32.895508	-27.80492	-0.018280197	1.4553517	9.620227	-12.849763	-8.233444	0.32963508	1005.7070240974426
12	3.25	1.47902	5.0	1.0	53.75	55.418297	143.0	0.0	3.6	2.6153393	9.0	0.0	11.2	15.230233	50.0	0.0	1000.0	1000.0	47999	8.3705635	5.5573506	32.849247	-28.534487	8.379062	5.530996	32.82938	-27.056564	0.0061953785	1.4698778	10.263212	-8.633247	-8.396542	0.44127804	1099.7814464569092
13	4.0	3.0	9.0	1.0	55.25	80.34729	193.0	0.0	4.2	3.7363086	11.0	0.0	73.2	160.77985	548.0	0.0	1000.0	1000.0	51999	8.371883	5.7579226	33.24822	-33.66698	8.386335	5.7090807	32.948296	-31.71709	0.03583016	1.5022001	9.935063	-11.375058	-8.387608	0.5819605	1193.8247680664062
14	4.0	1.4142135	6.0	2.0	19.75	16.161297	45.0	0.0	3.2	2.2271059	7.0	0.0	22.1	21.318771	64.0	0.0	1000.0	1000.0	55999	8.33462	5.849565	32.93998	-31.791588	8.347028	5.7995534	32.092133	-31.459244	0.016143044	1.4934458	11.404713	-11.163745	-8.340791	0.6707392	1287.3408463001251
15	5.75	3.269174	10.0	1.0	48.5	32.745228	98.0	17.0	5.0	3.5213633	10.0	0.0	73.2	98.652725	284.0	0.0	1000.0	1000.0	59999	8.213472	5.8233933	33.583477	-31.037792	8.225216	5.77104	32.956562	-29.579102	-0.0020633219	1.488117	9.834883	-11.088221	-8.209814	0.7009072	1380.8346123695374
16	5.5	2.95804	9.0	1.0	17.5	23.41474	57.0	0.0	6.5	2.4596748	12.0	4.0	37.8	31.355383	96.0	0.0	1000.0	1000.0	63999	7.9518037	5.837127	33.332066	-26.817387	7.9603486	5.794578	32.36247	-27.19502	-0.04314712	1.4846038	8.652724	-10.291755	-7.9420114	0.67633164	1475.012790441513
17	4.5	2.291288	8.0	2.0	78.25	95.67752	239.0	0.0	3.4	3.5552778	11.0	0.0	104.8	225.90477	775.0	0.0	1000.0	1000.0	67999	7.636198	5.7953796	30.338606	-25.385347	7.643051	5.7580056	31.068897	-23.441662	-0.04166856	1.4929738	9.493712	-10.251003	-7.6214886	0.67959446	1569.712857246399
18	6.0	1.0	7.0	5.0	43.75	22.57626	74.0	21.0	3.5	3.1384711	9.0	0.0	11.7	15.290847	47.0	0.0	1000.0	1000.0	71999	7.4155416	5.7328777	30.619555	-28.087593	7.4280524	5.6774316	30.952496	-25.846441	-0.024648366	1.4916326	11.02204	-10.070373	-7.3941746	0.7057871	1664.0630939006805
19	6.25	2.772634	9.0	3.0	40.25	25.14334	62.0	0.0	3.1	3.1764758	12.0	1.0	5.4	9.687105	26.0	0.0	1000.0	1000.0	75999	7.169566	5.720907	34.231148	-27.402979	7.1799774	5.6716948	33.676346	-26.45573	-0.063102	1.4792124	9.777638	-10.751505	-7.1401424	0.70193577	1758.5996642112732
20	6.0	1.8708287	9.0	4.0	63.25	40.257763	112.0	0.0	3.8	3.1874754	9.0	0.0	66.3	77.34992	236.0	0.0	1000.0	1000.0	79999	6.8193808	5.673854	32.777	-28.088167	6.827662	5.6305513	32.517475	-27.776688	-0.11334584	1.4616178	10.723651	-11.69036	-6.7813206	0.68860954	1853.2847878932953
21	6.75	2.58602	11.0	4.0	6.25	10.825317	25.0	0.0	4.7	3.7960505	11.0	0.0	112.2	255.10812	872.0	0.0	1000.0	950.4	83999	6.41083	5.640132	32.798473	-29.424885	6.4169064	5.6008015	32.07946	-28.396505	-0.1308149	1.4489348	9.045408	-11.007792	-6.364753	0.70266515	1946.9384415149689
22	5.75	2.8613808	9.0	2.0	21.25	23.01494	55.0	0.0	3.2	2.7495456	8.0	0.0	69.3	178.2061	602.0	0.0	1000.0	1000.0	87999	6.1072965	5.5901628	33.06217	-32.86336	6.1133027	5.547934	33.26294	-30.711243	-0.1455012	1.4472556	10.125932	-9.760768	-6.0543027	0.7302586	2042.2123229503632
23	4.25	2.4874685	8.0	1.0	40.75	24.386215	78.0	10.0	3.9	3.8327537	11.0	0.0	12.3	23.026289	77.0	0.0	1000.0	1000.0	91999	5.7770095	5.580693	32.45285	-35.581173	5.7838993	5.5380287	31.454742	-34.80632	-0.13892728	1.4413635	9.403104	-10.863738	-5.723031	0.7093769	2136.9551577568054
24	7.75	1.47902	10.0	6.0	4.25	7.361216	17.0	0.0	5.1	4.060788	13.0	0.0	22.5	33.191113	91.0	0.0	1000.0	1000.0	95999	5.459698	5.598953	32.06054	-33.048275	5.4708557	5.5432925	32.456337	-31.885542	-0.15020074	1.4348489	9.02469	-12.548519	-5.401834	0.7226089	2231.148877620697
25	7.5	2.6925824	12.0	5.0	43.25	31.195953	94.0	9.0	3.5	2.6172504	8.0	0.0	17.0	14.484474	39.0	0.0	1000.0	1000.0	99999	5.173387	5.563134	32.574196	-35.98092	5.1862373	5.500466	31.20414	-36.388145	-0.12919164	1.4403489	9.722712	-10.472368	-5.111451	0.757799	2325.788449048996
26	3.75	2.6809514	8.0	1.0	5.25	9.0932665	21.0	0.0	3.0	3.6055512	11.0	0.0	33.8	42.215633	109.0	0.0	1000.0	1000.0	103999	4.9029164	5.5516276	30.462723	-44.81428	4.9145823	5.490047	30.528994	-43.75504	-0.15371796	1.4257569	8.67843	-10.508786	-4.8351994	0.76399684	2420.7281501293182
27	3.25	1.0897248	5.0	2.0	29.5	16.650826	52.0	6.0	4.3	4.2201896	14.0	0.0	64.9	165.73561	560.0	0.0	1000.0	1000.0	107999	4.5588984	5.5949917	30.399046	-49.244167	4.5700717	5.5348	28.730122	-47.390144	-0.15669204	1.4215577	9.954597	-14.149532	-4.4847803	0.7688426	2515.471083164215
28	3.75	1.47902	6.0	2.0	71.5	71.66763	191.0	0.0	2.5	2.156386	7.0	0.0	79.5	225.01079	754.0	0.0	1000.0	1000.0	111999	4.174709	5.5996146	30.708775	-43.788925	4.183557	5.546303	30.916302	-43.250946	-0.18916593	1.4029884	10.0508585	-10.110683	-4.0927553	0.78553915	2610.265114545822
29	4.0	1.2247449	6.0	3.0	37.5	27.299267	66.0	0.0	3.9	3.3896902	10.0	0.0	23.4	33.817745	109.0	0.0	1000.0	1000.0	115999	3.7365532	5.661249	28.266048	-37.556145	3.7467628	5.6016326	28.878235	-37.83781	-0.20415819	1.4029062	8.258743	-9.620912	-3.6520298	0.8138677	2705.323038816452
30	6.0	2.4494898	8.0	2.0	17.75	11.92424	33.0	0.0	3.8	2.0396078	9.0	2.0	6.9	10.83005	28.0	0.0	1000.0	1000.0	119999	3.284242	5.68199	29.657515	-37.76999	3.2940485	5.6235447	28.129185	-39.21952	-0.20810457	1.3968765	9.509982	-12.050097	-3.1929703	0.8307789	2799.795659303665
31	4.25	3.9607449	11.0	1.0	70.0	121.24355	280.0	0.0	1.7	2.5709922	9.0	0.0	99.2	263.1964	887.0	0.0	1000.0	1000.0	123999	2.8485062	5.669559	27.732609	-43.42853	2.859323	5.6075997	27.105722	-42.753597	-0.21662799	1.3868362	8.973496	-9.867811	-2.756789	0.8332466	2894.492889404297
32	2.5	2.0615528	5.0	0.0	0.0	0.0	0.0	0.0	4.1	3.9862266	13.0	0.0	20.0	24.124676	63.0	0.0	1000.0	1000.0	127999	2.4298372	5.7085776	27.249214	-39.828903	2.4423065	5.6390634	27.17345	-41.80694	-0.24401103	1.371629	9.708509	-10.741204	-2.3386672	0.84128773	2989.418569803238
33	5.25	3.9607449	11.0	0.0	22.0	22.045408	46.0	0.0	5.1	3.207803	12.0	0.0	84.9	149.91028	528.0	0.0	1000.0	960.0	131999	2.1652672	5.806055	30.001884	-39.10438	2.1714647	5.752811	29.568184	-37.68682	-0.20278865	1.399433	8.585894	-9.007814	-2.0692065	0.86405385	3083.216721057892
34	5.0	3.6742346	11.0	1.0	29.5	25.8602	73.0	5.0	3.6	3.3526108	9.0	0.0	16.9	20.309849	63.0	0.0	1000.0	1000.0	135999	2.0789154	5.885847	30.393078	-44.040268	2.0660884	5.9075828	28.11311	-43.80561	-0.20783678	1.3960423	7.8094616	-10.323583	-1.9715474	0.79865664	3177.5420973300934
35	5.5	2.6925824	8.0	1.0	20.5	26.612967	65.0	0.0	2.3	2.8301945	9.0	0.0	10.6	25.088642	83.0	0.0	1000.0	921.8	139999	1.7554069	5.9744053	25.002886	-51.716034	1.7411231	6.0029373	25.352419	-50.697464	-0.19830656	1.3940777	9.680803	-9.899175	-1.6413047	0.85910106	3270.745496749878
36	3.5	2.598076	6.0	0.0	37.75	29.020468	76.0	0.0	1.1	1.1357816	3.0	0.0	10.5	18.623909	63.0	0.0	1000.0	1000.0	143999	1.3255982	6.0269237	25.494846	-51.63721	1.3107803	6.058041	25.913864	-50.410995	-0.22761519	1.3760455	10.254937	-10.384327	-1.2062762	0.8846762	3364.992124557495
37	4.0	1.5811388	6.0	2.0	21.75	22.565184	52.0	0.0	1.8	1.8867962	6.0	0.0	92.5	253.15381	851.0	0.0	1000.0	1000.0	147999	0.99972296	5.9441	26.302433	-50.011852	0.98527867	5.976944	25.315306	-48.436417	-0.23301876	1.3708107	9.395786	-11.270142	-0.8820363	0.8735508	3459.295516014099
38	3.75	1.0897248	5.0	2.0	33.5	25.71478	59.0	0.0	1.5	2.0124612	6.0	0.0	98.2	269.2838	905.0	0.0	1000.0	1000.0	151999	0.6698254	5.849065	27.315664	-50.61583	0.6548917	5.8854256	27.159657	-51.149994	-0.21941063	1.3777777	9.874499	-9.189946	-0.5496635	0.8942456	3553.861982822418
