Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
3	0.083333336	0.2763854	1.0	0.0	68.916664	118.73251	391.0	0.0	0.8	0.97979593	3.0	0.0	160.4	248.46376	853.0	0.0	942.75	848.0	11999	-0.33293742	-0.33288306	0.34532014	0.16205099	0.3478146	0.10000002	91.70295071601868
4	1.2	1.1661904	3.0	0.0	69.6	73.2519	197.0	0.0	3.1	2.3	6.0	0.0	197.3	291.59872	956.0	0.0	832.6	991.7	15999	-0.2269051	-0.22673082	0.17643079	0.20220801	1.0190836	0.10000002	202.78186702728271
5	2.25	1.0897248	4.0	1.0	54.5	61.239285	160.0	9.0	0.4	0.9165151	3.0	0.0	216.3	300.9462	753.0	0.0	1000.0	1000.0	19999	1.2686967	1.2685673	-1.3363587	0.2237323	1.2517514	0.10000002	312.870290517807
6	1.0	0.70710677	2.0	0.0	113.25	108.13504	240.0	5.0	1.0	1.0	3.0	0.0	131.1	182.40364	522.0	0.0	1000.0	1000.0	23999	2.9516962	2.951743	-3.02027	0.25562847	1.3846178	0.10000002	422.88309597969055
7	1.25	1.299038	3.0	0.0	49.25	69.0774	167.0	0.0	1.4	2.2891045	8.0	0.0	116.3	150.85294	414.0	0.0	1000.0	1000.0	27999	4.4909325	4.49089	-4.551916	0.24580994	1.3948548	0.10000002	532.5714447498322
8	1.75	1.47902	4.0	0.0	65.25	23.220411	101.0	39.0	2.1	1.6401219	5.0	0.0	317.3	279.64694	715.0	5.0	1000.0	1000.0	31999	5.5631113	5.5630927	-5.610323	0.26318136	1.3669579	0.10000002	642.4533910751343
9	2.0	2.345208	6.0	0.0	225.0	118.160904	417.0	95.0	2.0	1.8973665	6.0	0.0	165.8	185.19872	625.0	0.0	1000.0	1000.0	35999	6.1461067	6.1461973	-6.196424	0.3159613	1.3883218	0.10000002	752.5234241485596
10	1.75	1.299038	3.0	0.0	193.5	121.436195	328.0	32.0	2.1	1.9209372	5.0	0.0	80.8	156.05565	510.0	0.0	1000.0	1000.0	39999	6.539207	6.539207	-6.5876174	0.35330042	1.421331	0.10000002	862.6902916431427
11	3.25	3.112475	8.0	0.0	34.75	39.82069	97.0	0.0	2.9	2.9137604	7.0	0.0	32.7	51.236805	178.0	0.0	1000.0	1000.0	43999	6.8385005	6.8384438	-6.894	0.3497502	1.4372355	0.10000002	972.5465896129608
12	1.5	1.118034	3.0	0.0	132.5	159.16109	397.0	0.0	0.9	1.3747727	4.0	0.0	124.5	152.12314	441.0	0.0	1000.0	1000.0	47999	7.32606	7.3261786	-7.37255	0.37351575	1.4722586	0.10000002	1087.5254237651825
13	3.25	2.4874685	7.0	0.0	102.0	73.98311	190.0	7.0	0.8	1.077033	3.0	0.0	116.3	195.8903	621.0	0.0	1000.0	1000.0	51999	7.5879793	7.588	-7.629482	0.4034608	1.4687595	0.10000002	1210.4880924224854
14	2.25	1.47902	4.0	0.0	139.25	121.42153	273.0	6.0	3.0	3.435113	10.0	0.0	84.2	104.478516	287.0	0.0	1000.0	1000.0	55999	7.6415825	7.6417246	-7.666419	0.40891308	1.4464856	0.10000002	1333.722540140152
15	0.75	0.8291562	2.0	0.0	246.75	256.57883	674.0	0.0	2.2	2.8913662	8.0	0.0	187.4	219.78362	640.0	0.0	1000.0	1000.0	59999	7.293401	7.2932863	-7.317372	0.41570625	1.4443324	0.10000002	1457.166622877121
16	5.5	3.2015622	11.0	3.0	95.5	82.354416	188.0	11.0	2.7	2.4515302	7.0	0.0	49.2	110.1361	372.0	0.0	1000.0	1000.0	63999	7.228255	7.2282987	-7.265626	0.45357403	1.5012798	0.10000002	1575.8625988960266
17	3.0	3.082207	8.0	0.0	67.75	67.957245	143.0	0.0	2.4	2.2891047	6.0	0.0	62.6	126.74478	424.0	0.0	1000.0	1000.0	67999	7.3032136	7.303274	-7.3385067	0.4623287	1.4846939	0.10000002	1697.5106604099274
18	3.0	2.236068	6.0	0.0	83.75	57.538574	149.0	0.0	1.7	1.5524174	5.0	0.0	31.0	63.98437	218.0	0.0	1000.0	1000.0	71999	7.1208386	7.1208487	-7.1403356	0.4497936	1.4150261	0.10000002	1816.844675540924
19	1.5	0.8660254	2.0	0.0	164.5	163.09889	441.0	18.0	3.6	4.1521077	12.0	0.0	88.0	138.61963	360.0	0.0	1000.0	1000.0	75999	6.773756	6.773677	-6.7943845	0.48209012	1.4180895	0.10000002	1934.8399984836578
20	3.75	2.9474566	8.0	1.0	118.75	19.083696	147.0	98.0	1.5	1.5652477	4.0	0.0	33.6	66.62912	223.0	0.0	1000.0	1000.0	79999	6.6359887	6.635778	-6.658329	0.48737812	1.451868	0.10000002	2046.8927030563354
21	4.5	3.640055	10.0	0.0	86.75	106.309395	266.0	1.0	3.7	3.579106	11.0	0.0	74.0	75.053314	228.0	0.0	1000.0	1000.0	83999	6.459391	6.4594183	-6.4706354	0.501709	1.462363	0.10000002	2158.885777235031
22	3.75	2.8613808	8.0	0.0	59.25	48.950867	132.0	7.0	1.0	1.0954452	3.0	0.0	98.6	115.23905	403.0	0.0	1000.0	1000.0	87999	6.312045	6.311945	-6.318609	0.5163148	1.4731941	0.10000002	2269.4928212165833
23	1.0	1.2247449	3.0	0.0	51.75	44.807224	99.0	5.0	5.1	3.4481878	12.0	0.0	56.9	99.429825	319.0	0.0	1000.0	1000.0	91999	6.0937057	6.093762	-6.0916834	0.5225562	1.4586217	0.10000002	2380.959518432617
24	3.75	2.9474566	8.0	1.0	120.75	99.15739	283.0	25.0	1.7	1.4177446	5.0	0.0	186.0	201.54156	560.0	0.0	1000.0	1000.0	95999	5.81721	5.8173137	-5.805709	0.5438562	1.4611377	0.10000002	2494.566068649292
25	3.75	3.344772	8.0	0.0	135.75	90.333755	232.0	7.0	2.7	3.4942808	11.0	0.0	78.8	130.5372	360.0	0.0	1000.0	1000.0	99999	5.630893	5.6310344	-5.6288857	0.54844224	1.4847131	0.10000002	2608.092696428299
26	4.25	1.9202864	7.0	2.0	24.75	18.321777	56.0	10.0	2.8	2.3151672	7.0	0.0	23.8	33.399998	100.0	0.0	1000.0	1000.0	103999	5.6018877	5.6018744	-5.5955067	0.55710566	1.4910518	0.10000002	2720.9527208805084
27	4.0	3.082207	7.0	0.0	105.0	92.43646	235.0	0.0	2.2	2.712932	9.0	0.0	138.3	187.46843	560.0	0.0	1000.0	1000.0	107999	5.6057644	5.605752	-5.597973	0.5558763	1.4893876	0.10000002	2833.9437453746796
28	2.5	2.8722813	7.0	0.0	184.5	182.94876	385.0	0.0	3.0	2.792848	10.0	0.0	213.5	221.93298	598.0	0.0	1000.0	1000.0	111999	5.464959	5.46482	-5.4528666	0.57092774	1.5025456	0.10000002	2946.9116146564484
29	3.25	1.47902	5.0	1.0	71.75	63.938934	176.0	12.0	1.3	1.6155494	5.0	0.0	185.6	249.76117	744.0	0.0	1000.0	1000.0	115999	5.2971487	5.2972417	-5.277796	0.5939198	1.4980708	0.10000002	3059.0798354148865
30	4.0	3.1622777	8.0	0.0	154.0	132.48207	289.0	0.0	2.4	2.87054	8.0	0.0	97.2	103.938255	324.0	0.0	1000.0	1000.0	119999	5.0891247	5.0891604	-5.068369	0.6146642	1.5073717	0.10000002	3164.169483423233
31	4.75	4.5483513	12.0	0.0	125.25	121.978226	270.0	0.0	4.6	2.9393876	10.0	0.0	33.5	62.591133	194.0	0.0	1000.0	1000.0	123999	4.993921	4.994127	-4.9679804	0.66197413	1.5182848	0.10000002	3269.768657684326
32	1.25	1.6393596	4.0	0.0	127.75	91.198616	233.0	0.0	2.6	2.416609	7.0	0.0	137.8	210.01944	616.0	0.0	1000.0	1000.0	127999	4.7839084	4.783938	-4.7536683	0.6876036	1.5102382	0.10000002	3379.9692747592926
33	3.75	3.8971143	9.0	0.0	49.75	54.223495	141.0	0.0	4.7	3.8483763	12.0	0.0	108.6	165.75415	511.0	0.0	1000.0	1000.0	131999	4.534096	4.534291	-4.49981	0.71459097	1.5082828	0.10000002	3493.358067035675
34	1.5	1.118034	3.0	0.0	157.75	108.17665	340.0	62.0	4.4	4.9436827	14.0	0.0	121.1	201.66182	656.0	0.0	1000.0	1000.0	135999	4.30397	4.3039384	-4.267011	0.7249623	1.5180279	0.10000002	3606.4359016418457
35	4.0	3.0	9.0	1.0	79.75	136.97879	317.0	0.0	1.9	1.7	5.0	0.0	34.6	58.165623	189.0	0.0	1000.0	1000.0	139999	4.0615754	4.061726	-4.0229373	0.7293722	1.5149443	0.10000002	3718.1447830200195
