Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
3	0.13333334	0.33993465	1.0	0.0	15.4	23.40883	91.0	0.0	2.4	1.6852299	6.0	0.0	51.3	52.040462	198.0	7.0	775.6667	1000.0	11999	0.099779114	0.09979681	-0.080860674	0.13439865	0.78915685	0.10000002	108.32048201560974
4	0.75	0.4330127	1.0	0.0	96.75	70.43215	204.0	20.0	3.0	2.366432	7.0	0.0	65.6	80.02649	271.0	0.0	1000.0	1000.0	15999	0.99740046	0.9973552	-0.9773452	0.17416213	1.3891383	0.10000002	240.46434092521667
5	3.6	2.9393876	6.0	0.0	32.4	44.526848	116.0	0.0	0.2	0.4	1.0	0.0	60.1	61.24451	195.0	0.0	774.4	958.8	19999	3.0476172	3.0475245	-3.026398	0.28008723	2.262775	0.10000002	373.16788601875305
6	1.0	1.0	2.0	0.0	83.25	39.270695	124.0	43.0	0.4	0.66332495	2.0	0.0	49.5	57.08809	198.0	0.0	894.0	987.9	23999	6.4140577	6.414085	-6.3880215	0.38068214	2.9787526	0.10000002	506.5505619049072
7	1.0	1.0	2.0	0.0	23.25	20.166494	50.0	0.0	0.4	0.48989797	1.0	0.0	32.6	62.565487	217.0	0.0	1000.0	1000.0	27999	9.407697	9.407775	-9.353355	0.45642233	3.1571841	0.10000002	642.179455280304
8	1.5	0.5	2.0	1.0	112.75	104.90085	244.0	1.0	0.3	0.45825756	1.0	0.0	41.2	47.93496	115.0	0.0	1000.0	1000.0	31999	11.830101	11.830079	-11.767621	0.50077343	3.2505872	0.10000002	777.0777535438538
9	2.25	1.47902	4.0	0.0	62.25	25.013746	92.0	23.0	1.2	1.3266499	4.0	0.0	82.2	106.2241	379.0	0.0	1000.0	1000.0	35999	13.751668	13.751651	-13.675401	0.5452444	3.1879184	0.10000002	911.0586471557617
10	4.0	2.345208	8.0	2.0	43.0	6.1237245	50.0	34.0	1.3	1.4866068	5.0	0.0	21.3	30.216057	95.0	0.0	1000.0	1000.0	39999	14.9337635	14.933686	-14.841989	0.60778135	3.0858707	0.10000002	1044.1845738887787
11	3.75	2.2776084	6.0	0.0	16.5	17.226433	40.0	0.0	1.8	1.7204651	5.0	0.0	133.8	131.51486	378.0	0.0	1000.0	1000.0	43999	15.689971	15.689854	-15.592682	0.6010868	3.0729127	0.10000002	1177.1179671287537
12	3.75	1.299038	5.0	2.0	62.25	32.53748	103.0	13.0	0.6	1.0198039	3.0	0.0	82.3	115.286644	362.0	0.0	1000.0	1000.0	47999	16.422546	16.422556	-16.314295	0.6206499	3.1133661	0.10000002	1307.955420255661
13	2.0	1.8708287	5.0	0.0	74.25	86.70171	221.0	0.0	0.5	0.67082036	2.0	0.0	48.6	51.99269	139.0	0.0	1000.0	1000.0	51999	16.73454	16.734398	-16.60639	0.6097057	3.0240479	0.10000002	1438.8805170059204
14	0.75	0.4330127	1.0	0.0	95.75	122.426254	306.0	0.0	0.3	0.64031243	2.0	0.0	58.5	83.667496	251.0	0.0	1000.0	1000.0	55999	16.41186	16.411915	-16.275043	0.5949637	2.9126093	0.10000002	1569.5557823181152
15	2.5	1.6583124	5.0	1.0	108.0	64.71862	213.0	40.0	0.8	0.8717798	2.0	0.0	144.1	108.83148	385.0	23.0	1000.0	1000.0	59999	15.886428	15.886116	-15.746483	0.5853801	2.8895903	0.10000002	1700.450166940689
16	3.0	3.082207	8.0	0.0	87.0	100.63548	260.0	16.0	1.3	1.3453624	4.0	0.0	48.4	97.2288	332.0	0.0	1000.0	1000.0	63999	15.5407715	15.540713	-15.406854	0.5939231	2.8599734	0.10000002	1833.0575730800629
17	2.5	2.6925824	7.0	0.0	71.5	72.38266	193.0	3.0	1.1	1.868154	6.0	0.0	38.1	49.844658	162.0	0.0	1000.0	1000.0	67999	15.249874	15.249694	-15.104471	0.6242636	2.9074843	0.10000002	1963.4134998321533
18	2.25	0.4330127	3.0	2.0	119.0	29.40238	151.0	71.0	1.1	1.3000001	4.0	0.0	115.2	115.43205	358.0	5.0	1000.0	1000.0	71999	14.74032	14.740257	-14.581674	0.6051289	2.9419236	0.10000002	2095.2009263038635
19	7.25	2.9474566	12.0	4.0	47.0	25.406693	88.0	21.0	1.2	0.87177974	2.0	0.0	71.6	124.852066	433.0	0.0	1000.0	1000.0	75999	14.348264	14.348102	-14.191428	0.61670786	2.939841	0.10000002	2227.4111342430115
20	7.0	3.2403703	11.0	2.0	63.5	69.958916	182.0	7.0	1.6	1.7435596	5.0	0.0	94.3	61.121273	174.0	2.0	1000.0	1000.0	79999	14.056462	14.05631	-13.899075	0.64156675	2.8781404	0.10000002	2358.7424483299255
21	6.0	3.535534	10.0	2.0	137.25	169.62071	428.0	13.0	2.2	1.3266499	4.0	0.0	15.0	15.394804	43.0	0.0	1000.0	1000.0	83999	13.885249	13.885238	-13.721802	0.6636125	2.913338	0.10000002	2490.5910184383392
22	2.0	2.1213202	5.0	0.0	73.0	16.015617	97.0	57.0	1.0	1.4142135	4.0	0.0	56.3	47.810146	128.0	0.0	1000.0	1000.0	87999	13.583129	13.583194	-13.41828	0.6764509	2.910543	0.10000002	2625.573765516281
23	1.0	0.70710677	2.0	0.0	116.25	68.357056	189.0	9.0	1.7	1.9519222	7.0	0.0	41.9	62.628185	208.0	0.0	1000.0	1000.0	91999	13.474744	13.474861	-13.309546	0.6681988	3.0085044	0.10000002	2760.5362751483917
24	2.5	1.5	4.0	0.0	67.5	58.993645	163.0	2.0	1.3	2.4103942	7.0	0.0	60.6	89.68634	263.0	0.0	1000.0	1000.0	95999	13.518239	13.5183115	-13.352187	0.6865661	3.0562475	0.10000002	2893.863829135895
25	5.25	1.47902	7.0	3.0	73.5	59.860252	159.0	1.0	0.8	1.2489997	4.0	0.0	95.3	144.61055	479.0	0.0	1000.0	1000.0	99999	13.607783	13.607856	-13.437224	0.71349293	3.042996	0.10000002	3026.2644708156586
26	2.25	2.772634	7.0	0.0	38.0	40.459858	103.0	3.0	1.1	1.0440307	3.0	0.0	45.7	84.07503	283.0	0.0	1000.0	1000.0	103999	13.479543	13.479563	-13.305856	0.7022266	2.9973736	0.10000002	3157.877429008484
27	2.0	1.0	3.0	1.0	148.5	54.838398	208.0	63.0	3.1	2.8442926	8.0	0.0	108.5	124.90576	425.0	1.0	1000.0	1000.0	107999	13.283168	13.28322	-13.104477	0.70909524	2.9980433	0.10000002	3288.1498527526855
28	4.25	2.8613808	9.0	2.0	134.5	71.81052	218.0	28.0	1.5	1.5	5.0	0.0	81.4	125.75229	346.0	0.0	1000.0	1000.0	111999	13.050873	13.050973	-12.869221	0.7245641	2.976795	0.10000002	3418.6396050453186
29	9.5	0.8660254	10.0	8.0	49.75	18.619547	73.0	30.0	1.9	2.0223749	6.0	0.0	81.2	140.4776	374.0	0.0	1000.0	1000.0	115999	12.811024	12.810935	-12.623225	0.75232285	2.9665937	0.10000002	3547.536154985428
30	2.0	1.5811388	4.0	0.0	124.25	93.827965	249.0	18.0	1.8	2.0396078	7.0	0.0	72.1	85.77698	298.0	0.0	1000.0	1000.0	119999	12.522087	12.5221815	-12.331843	0.74509865	2.9311225	0.10000002	3670.164883375168
31	3.25	3.112475	8.0	0.0	151.0	166.98055	437.0	25.0	3.3	2.570992	9.0	0.0	125.5	243.16466	743.0	0.0	1000.0	1000.0	123999	12.165195	12.1652775	-11.972793	0.77896315	2.8881376	0.10000002	3795.1002950668335
32	2.4	2.2449944	5.0	0.0	40.8	44.137962	124.0	0.0	1.7	1.0049876	3.0	0.0	28.3	32.109344	86.0	0.0	904.6	1000.0	127999	11.744415	11.744364	-11.547339	0.79038084	2.8931649	0.10000002	3922.8857851028442
33	2.25	1.47902	4.0	0.0	124.0	108.062485	303.0	22.0	1.8	2.0396078	6.0	0.0	24.3	36.794155	105.0	0.0	1000.0	1000.0	131999	11.304193	11.304445	-11.107193	0.8016327	2.8926456	0.10000002	4052.0499544143677
34	5.25	3.49106	11.0	2.0	114.25	68.10057	197.0	12.0	3.3	2.238303	9.0	1.0	109.3	102.32405	377.0	0.0	1000.0	1000.0	135999	10.947321	10.947238	-10.746269	0.8129666	2.9022954	0.10000002	4183.991395235062
35	6.5	2.291288	9.0	3.0	72.5	70.492905	191.0	6.0	0.8	0.8717798	3.0	0.0	56.3	128.422	435.0	0.0	1000.0	1000.0	139999	10.688455	10.688603	-10.484282	0.82602245	2.9061053	0.10000002	4314.067300319672
36	3.0	2.5495098	6.0	0.0	55.25	48.761536	113.0	4.0	1.2	1.6	5.0	0.0	99.0	122.622185	335.0	0.0	1000.0	1000.0	143999	10.507872	10.508029	-10.303094	0.83904004	2.9236221	0.10000002	4443.054737329483
37	2.5	2.6925824	7.0	0.0	62.75	20.728905	96.0	40.0	1.7	1.9	5.0	0.0	26.5	59.736504	200.0	0.0	1000.0	1000.0	147999	10.364799	10.3647785	-10.157262	0.84742475	2.9617069	0.10000002	4569.475313425064
38	6.25	3.269174	11.0	2.0	58.75	36.792492	113.0	22.0	1.5	1.3601471	3.0	0.0	87.8	138.59639	491.0	0.0	1000.0	1000.0	151999	10.247543	10.247605	-10.038024	0.84691966	2.9611297	0.10000002	4692.787868738174
39	1.75	2.046338	5.0	0.0	134.75	108.00781	318.0	41.0	1.2	1.32665	4.0	0.0	97.0	171.24602	586.0	0.0	1000.0	1000.0	155999	10.068716	10.068885	-9.856782	0.8595353	2.9616754	0.10000002	4815.954660654068
40	2.0	1.8708287	5.0	0.0	46.75	22.01562	84.0	30.0	0.6	0.8	2.0	0.0	45.8	55.12132	182.0	0.0	1000.0	1000.0	159999	9.968063	9.967975	-9.7532835	0.87412804	2.9760234	0.10000002	4943.823508501053
41	5.25	3.8324275	10.0	1.0	63.75	22.230328	100.0	42.0	0.7	0.78102493	2.0	0.0	185.3	177.80667	503.0	0.0	1000.0	985.4	163999	9.760474	9.760607	-9.543846	0.8895207	2.9829068	0.10000002	5070.810152292252
42	3.0	2.1213202	5.0	0.0	116.0	66.55824	224.0	42.0	0.5	0.67082036	2.0	0.0	123.1	140.15952	374.0	0.0	1000.0	1000.0	167999	9.652752	9.652787	-9.436688	0.9004372	2.9923754	0.10000002	5197.667685031891
43	3.0	1.0	4.0	2.0	44.25	49.479164	128.0	0.0	1.8	1.5362291	4.0	0.0	31.1	35.348125	104.0	0.0	978.0	1000.0	171999	9.542302	9.542194	-9.320743	0.8937335	3.0013561	0.10000002	5325.938385725021
44	2.25	2.4874685	6.0	0.0	119.75	101.72604	270.0	19.0	3.1	2.7	10.0	0.0	56.1	109.65259	378.0	0.0	1000.0	1000.0	175999	9.393267	9.393315	-9.167876	0.88963425	2.977025	0.10000002	5454.82519698143
45	0.5	0.5	1.0	0.0	115.0	83.75858	256.0	45.0	0.5	0.67082036	2.0	0.0	58.7	93.252396	276.0	0.0	1000.0	1000.0	179999	9.130194	9.130154	-8.903369	0.88666177	2.9514074	0.10000002	5583.914294719696
