Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	mmd_entropy	alpha	Time
3	0.0	0.0	0.0	0.0	1.1666666	1.771691	5.0	0.0	0.1	0.29999998	1.0	0.0	201.0	369.1322	939.0	0.0	1000.0	1000.0	11999	-0.011201439	-0.011202933	0.024022922	0.0031379145	0.121789366	0.10000002	83.55557918548584
4	0.25	0.4330127	1.0	0.0	0.25	0.4330127	1.0	0.0	0.2	0.4	1.0	0.0	0.3	0.90000004	3.0	0.0	1000.0	1000.0	15999	0.07705172	0.07704519	-0.06464768	0.00938319	0.21543445	0.10000002	192.20498085021973
5	1.0	0.70710677	2.0	0.0	4.0	6.928203	16.0	0.0	1.1	1.3	4.0	0.0	17.3	24.670023	71.0	0.0	1000.0	811.1	19999	0.6431002	0.6431192	-0.634646	0.016467579	0.46699518	0.10000002	295.9117455482483
6	2.0	0.70710677	3.0	1.0	68.25	56.357674	161.0	22.0	0.7	0.78102493	2.0	0.0	40.7	99.21497	337.0	0.0	994.0	1000.0	23999	1.8061398	1.806163	-1.8308854	0.052296504	0.8971505	0.10000002	403.58531379699707
7	3.0	1.0	4.0	2.0	123.0	78.58435	229.0	43.0	1.9	1.3	4.0	0.0	46.3	88.468124	306.0	0.0	1000.0	1000.0	27999	4.270393	4.270407	-4.292071	0.103645004	1.1700923	0.10000002	510.0130033493042
8	1.5	2.598076	6.0	0.0	0.75	1.299038	3.0	0.0	0.9	1.0440305	3.0	0.0	12.3	31.686117	107.0	0.0	828.0	1000.0	31999	5.360128	5.3601456	-5.363451	0.13493748	0.908635	0.10000002	616.3295676708221
9	3.25	2.1650636	6.0	0.0	143.75	150.05396	358.0	0.0	1.7	1.6155494	4.0	0.0	74.5	138.64288	398.0	0.0	1000.0	1000.0	35999	6.4398837	6.439998	-6.457744	0.15518372	1.0810503	0.10000002	722.3796610832214
10	2.25	1.9202864	5.0	0.0	142.25	208.2563	501.0	3.0	2.3	2.8999999	9.0	0.0	29.9	58.2777	197.0	0.0	1000.0	1000.0	39999	7.517924	7.5179224	-7.5231504	0.16112626	1.0948665	0.10000002	827.8070318698883
11	3.0	1.4142135	5.0	1.0	20.0	24.010414	61.0	0.0	3.2	2.7495453	8.0	0.0	16.1	25.177172	70.0	0.0	1000.0	1000.0	43999	7.9259377	7.9259467	-7.9198203	0.16757968	1.0433846	0.10000002	933.2468626499176
12	3.25	1.47902	5.0	1.0	12.25	11.277743	24.0	0.0	2.8	2.6	8.0	0.0	32.2	66.00879	220.0	0.0	1000.0	1000.0	47999	8.241972	8.2419	-8.229863	0.1664558	1.0743809	0.10000002	1040.303171634674
13	6.75	2.9474566	10.0	2.0	12.5	11.9478035	31.0	1.0	3.4	2.2891045	6.0	0.0	25.1	32.85864	95.0	0.0	1000.0	1000.0	51999	8.710131	8.710055	-8.703	0.18819468	1.1916301	0.10000002	1147.9680151939392
14	4.5	2.5	8.0	1.0	112.0	117.06409	288.0	0.0	2.7	2.4103942	7.0	0.0	59.6	136.50436	467.0	0.0	1000.0	1000.0	55999	9.635991	9.63601	-9.628527	0.2168063	1.2912761	0.10000002	1256.4551429748535
15	3.0	2.5495098	7.0	0.0	70.75	75.773926	197.0	2.0	1.8	1.1661904	3.0	0.0	85.0	115.78687	309.0	0.0	1000.0	1000.0	59999	10.383588	10.38353	-10.3800535	0.25237232	1.3070532	0.10000002	1363.0280611515045
16	3.25	2.384848	6.0	0.0	27.5	44.757683	105.0	0.0	1.6	1.8000001	5.0	0.0	2.3	4.196427	12.0	0.0	1000.0	1000.0	63999	10.9038515	10.903846	-10.88926	0.26025	1.2785913	0.10000002	1470.5115509033203
17	4.0	3.0	9.0	1.0	9.75	10.497024	25.0	0.0	4.8	2.993326	10.0	0.0	41.2	47.836807	159.0	0.0	1000.0	1000.0	67999	11.193793	11.1938925	-11.168307	0.26144278	1.2405438	0.10000002	1576.9701805114746
18	2.25	1.9202864	5.0	0.0	34.0	31.898275	85.0	6.0	1.7	1.6763054	4.0	0.0	77.4	201.12393	679.0	0.0	1000.0	1000.0	71999	11.370164	11.370135	-11.353162	0.26075897	1.3222724	0.10000002	1685.5108642578125
19	7.75	0.8291562	9.0	7.0	8.25	6.456586	19.0	2.0	2.5	1.4317821	5.0	0.0	56.7	132.8872	440.0	0.0	1000.0	1000.0	75999	11.861118	11.861161	-11.833602	0.2781702	1.3296951	0.10000002	1794.020891904831
20	4.25	3.4186985	10.0	1.0	5.0	5.049752	11.0	0.0	1.3	2.2825422	7.0	0.0	4.5	10.131634	34.0	0.0	932.0	1000.0	79999	11.926508	11.926508	-11.887113	0.27328938	1.2628157	0.10000002	1902.3152441978455
21	4.5	2.5	8.0	1.0	19.0	19.455076	46.0	0.0	1.5	1.2041595	3.0	0.0	18.7	51.811295	174.0	0.0	1000.0	1000.0	83999	11.873012	11.873026	-11.821697	0.2671751	1.2542598	0.10000002	2010.575136423111
22	4.25	1.6393596	7.0	3.0	111.75	127.893265	315.0	0.0	3.5	3.0740852	10.0	0.0	11.2	15.979987	49.0	0.0	1000.0	1000.0	87999	11.518068	11.518042	-11.459723	0.2717862	1.1634127	0.10000002	2118.623208999634
23	3.75	1.0897248	5.0	2.0	59.25	50.82507	131.0	6.0	2.0	1.6124516	4.0	0.0	13.3	37.9211	127.0	0.0	1000.0	1000.0	91999	11.18919	11.189234	-11.135649	0.28759003	1.2374282	0.10000002	2225.8768928050995
24	4.5	3.640055	9.0	0.0	72.25	65.86492	185.0	22.0	3.0	3.3166249	9.0	0.0	15.2	20.629107	52.0	0.0	1000.0	1000.0	95999	11.094909	11.095	-11.0359125	0.3123918	1.2712128	0.10000002	2332.0841178894043
25	5.5	1.5	8.0	4.0	53.25	28.65637	93.0	20.0	1.2	1.2489996	3.0	0.0	7.7	17.274548	56.0	0.0	1000.0	1000.0	99999	10.924579	10.924659	-10.859027	0.33640358	1.2413524	0.10000002	2436.351447582245
26	5.75	2.8613808	9.0	2.0	63.0	91.855865	222.0	5.0	2.4	1.9078784	5.0	0.0	68.9	121.745186	387.0	0.0	1000.0	1000.0	103999	10.771016	10.770958	-10.704527	0.34886146	1.2555492	0.10000002	2541.9719722270966
27	6.25	1.7853571	9.0	4.0	20.0	21.725561	52.0	0.0	1.3	1.7349352	5.0	0.0	125.1	272.9148	894.0	0.0	1000.0	1000.0	107999	10.453252	10.45338	-10.374475	0.36008814	1.1783577	0.10000002	2647.4192719459534
28	1.75	1.299038	3.0	0.0	70.75	68.6053	167.0	0.0	1.6	1.3564659	4.0	0.0	115.5	180.09233	481.0	0.0	1000.0	1000.0	111999	10.081788	10.08192	-10.007987	0.37382495	1.2386075	0.10000002	2753.5727245807648
29	1.5	1.5	3.0	0.0	185.5	291.77603	690.0	0.0	2.8	2.2715633	7.0	0.0	32.6	44.418915	152.0	0.0	1000.0	1000.0	115999	9.876183	9.876191	-9.7993555	0.3581207	1.2346367	0.10000002	2860.7303972244263
30	4.25	1.47902	6.0	2.0	16.0	16.477257	43.0	0.0	1.1	1.5779735	4.0	0.0	39.3	111.34546	373.0	0.0	1000.0	1000.0	119999	9.528168	9.528222	-9.449107	0.364571	1.2308162	0.10000002	2967.74259185791
31	4.0	1.8708287	7.0	2.0	24.25	34.643723	84.0	0.0	5.3	4.5836663	14.0	0.0	22.5	63.518894	213.0	0.0	1000.0	1000.0	123999	9.271726	9.271638	-9.189567	0.35931	1.2003468	0.10000002	3075.4122042655945
32	3.75	1.47902	6.0	2.0	106.75	179.14711	417.0	0.0	3.4	3.4117444	10.0	0.0	55.0	110.6517	380.0	0.0	1000.0	1000.0	127999	8.988084	8.988212	-8.904336	0.36656594	1.2198561	0.10000002	3182.3984956741333
