Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.25	0.4330127	1.0	0.0	61.25	69.51753	169.0	0.0	0.1	0.29999998	1.0	0.0	4.9	6.0241184	13.0	0.0	1000.0	1000.0	3999	0.06646953	0.27968043	13.282885	-0.8274942	0.06638993	0.27978012	14.403517	-0.90118194	-0.12305326	0.009823757	52.35689973831177
2	0.0	0.0	0.0	0.0	57.25	60.931828	144.0	0.0	0.1	0.29999998	1.0	0.0	7.6	8.114185	21.0	0.0	1000.0	1000.0	7999	0.44974616	0.68256253	13.904942	-2.34702	0.44959566	0.68208516	15.335217	-2.3801773	-0.56362957	0.0076098023	107.71491527557373
3	0.25	0.4330127	1.0	0.0	17.75	24.802973	60.0	0.0	1.6	1.2806249	4.0	0.0	280.4	310.93866	848.0	0.0	1000.0	1000.0	11999	1.0749756	1.0918868	17.713114	-3.6977856	1.0749053	1.0919319	16.697155	-3.6643448	-1.205157	0.011268504	165.81842136383057
4	4.0	1.8708287	7.0	2.0	59.75	51.197533	146.0	12.0	1.1	1.1357816	3.0	0.0	29.7	29.819626	95.0	0.0	1000.0	1000.0	15999	1.5831367	1.0878937	14.669799	-2.836003	1.5826627	1.0883752	14.522199	-2.8515327	-1.7276208	0.080216475	220.0570011138916
5	4.25	2.384848	7.0	1.0	55.75	23.96221	74.0	15.0	5.6	2.4979992	10.0	1.0	147.3	236.32692	845.0	0.0	1000.0	1000.0	19999	2.1226408	1.4926142	19.368841	-1.624041	2.122488	1.4919567	19.582857	-1.6407292	-2.2705019	0.09739303	276.3064455986023
6	11.5	4.387482	18.0	7.0	62.25	13.064743	83.0	47.0	10.2	4.4	14.0	1.0	57.6	42.209476	119.0	0.0	1000.0	1000.0	23999	2.772575	2.1413715	20.976212	-1.2795374	2.772318	2.1408849	20.742592	-1.1614295	-2.931534	0.14481288	331.08402705192566
7	12.75	2.384848	16.0	10.0	27.75	14.166422	49.0	13.0	12.7	3.7161808	20.0	8.0	39.2	40.459362	133.0	0.0	1000.0	1000.0	27999	3.757157	2.7554805	22.558119	-1.187316	3.7570894	2.7550924	22.614868	-1.2130436	-3.9368258	0.17850693	388.3133957386017
8	12.0	2.5495098	15.0	8.0	92.0	53.399437	129.0	0.0	10.8	3.6551335	15.0	1.0	78.9	65.84596	197.0	0.0	1000.0	1000.0	31999	4.758678	3.3422272	23.835161	-1.3496284	4.758177	3.3419783	23.891695	-1.8003347	-4.936352	0.16055013	443.40713000297546
9	10.0	2.345208	12.0	6.0	87.75	36.41686	142.0	54.0	12.5	2.2472205	17.0	9.0	69.4	84.720955	268.0	0.0	1000.0	1000.0	35999	5.725802	3.8542454	24.468637	-2.497813	5.7254267	3.854111	24.604145	-2.1349137	-5.91375	0.17149238	501.04222106933594
10	11.25	0.4330127	12.0	11.0	74.25	41.306023	128.0	19.0	11.5	3.8535697	16.0	3.0	55.1	39.03447	157.0	0.0	1000.0	1000.0	39999	6.6384964	4.2394342	26.95282	-2.6349256	6.6384163	4.2393317	26.869894	-2.5984766	-6.8006396	0.16657843	559.1636781692505
