Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	41.75	46.991356	114.0	0.0	0.5	0.67082036	2.0	0.0	75.5	73.15497	248.0	0.0	1000.0	1000.0	3999	-0.04579258	0.737789	1.2921711	-7.378225	-0.04573903	0.73778	1.3183693	-7.451345	-0.04140874	0.006268018	49.43858027458191
2	0.0	0.0	0.0	0.0	19.0	32.908966	76.0	0.0	1.2	1.4	4.0	0.0	33.5	38.244606	113.0	0.0	1000.0	1000.0	7999	0.41383997	1.561472	3.0201244	-15.985601	0.41387242	1.5614518	3.0412226	-15.699193	-0.5844783	0.014952743	106.74554705619812
3	2.0	3.4641016	8.0	0.0	22.25	38.53813	89.0	0.0	2.1	2.2113345	7.0	0.0	143.9	159.92464	505.0	0.0	1000.0	1000.0	11999	1.1526387	2.0185645	13.117472	-19.38465	1.1526861	2.01835	12.894449	-18.92147	-1.3292819	0.050342	162.94064259529114
4	3.75	1.9202864	6.0	1.0	88.75	57.027954	176.0	17.0	1.5	1.8027756	6.0	0.0	153.3	251.03429	831.0	0.0	1000.0	1000.0	15999	1.3548129	2.0621946	15.349182	-19.114834	1.354765	2.061857	14.936557	-18.36546	-1.4669949	0.09297948	220.65866875648499
5	5.25	1.299038	7.0	4.0	37.0	21.931713	74.0	18.0	5.7	1.6763054	9.0	3.0	88.1	44.51618	148.0	22.0	1000.0	1000.0	19999	1.0743908	2.4537446	16.062342	-17.977043	1.0746069	2.4535263	15.932436	-17.267088	-1.1559749	0.13602985	281.5245928764343
6	7.5	0.8660254	8.0	6.0	126.75	84.215126	253.0	18.0	5.8	3.3406587	11.0	0.0	84.0	57.91891	194.0	0.0	1000.0	1000.0	23999	0.61534417	3.116244	17.970354	-25.314423	0.6152531	3.1155818	15.666012	-24.967434	-0.6841654	0.21740884	338.93387389183044
7	6.25	1.47902	8.0	4.0	101.25	63.84111	176.0	0.0	6.8	0.74833155	8.0	6.0	76.8	89.230934	307.0	0.0	1000.0	1000.0	27999	-0.118817635	3.9193323	18.806496	-31.395533	-0.11948046	3.919067	18.74713	-31.747944	0.046998892	0.27034312	396.0279505252838
8	6.75	1.0897248	8.0	5.0	117.0	82.84021	255.0	34.0	5.4	2.6907248	9.0	0.0	77.5	57.33106	176.0	0.0	1000.0	1000.0	31999	-1.0321573	4.8783674	18.01425	-39.342884	-1.0327314	4.8785124	18.543116	-38.90134	0.9680212	0.37701154	453.09478640556335
9	4.0	2.236068	7.0	1.0	61.75	38.041916	99.0	0.0	4.6	2.3323808	8.0	0.0	61.6	41.202427	146.0	0.0	1000.0	1000.0	35999	-1.8504636	5.642582	24.022457	-42.526833	-1.8508655	5.6424522	24.326443	-44.810688	1.7639639	0.46297744	510.9022262096405
10	8.75	1.0897248	10.0	7.0	76.5	43.37338	130.0	17.0	8.5	1.3601471	10.0	7.0	56.7	31.087135	106.0	11.0	1000.0	1000.0	39999	-2.6108615	6.214598	24.756588	-51.561165	-2.6107264	6.2151523	25.021656	-50.678864	2.5263784	0.5473096	568.0473473072052
11	4.75	3.4186985	8.0	0.0	74.5	44.15031	127.0	21.0	8.1	1.2206556	10.0	5.0	44.1	27.097786	96.0	0.0	1000.0	1000.0	43999	-3.4289033	6.630597	24.024992	-62.901707	-3.4292934	6.630147	23.853533	-61.76255	3.3252032	0.64438343	625.5558104515076
12	6.25	4.0233693	11.0	0.0	16.75	16.60384	44.0	0.0	7.8	1.6613247	11.0	5.0	39.7	33.728477	120.0	0.0	1000.0	1000.0	47999	-4.269102	7.0288687	20.996775	-68.16754	-4.26871	7.0299416	21.410238	-65.91166	4.189112	0.74987215	682.4741525650024
13	4.5	3.354102	9.0	0.0	28.5	20.155643	48.0	0.0	6.1	2.1656406	10.0	2.0	26.7	20.327568	62.0	0.0	1000.0	1000.0	51999	-5.091915	7.4784117	20.53463	-69.55842	-5.091635	7.479342	19.620825	-69.19677	4.9961143	0.83158815	740.5814688205719
14	6.5	3.5	10.0	1.0	40.75	24.772717	63.0	0.0	7.2	3.6551335	14.0	1.0	34.0	34.62658	122.0	0.0	1000.0	1000.0	55999	-5.8093424	7.70233	18.91149	-73.29243	-5.808705	7.7032175	18.931883	-70.38718	5.715977	0.90789396	797.9943928718567
15	2.75	1.47902	5.0	1.0	39.0	41.140003	107.0	3.0	8.1	3.0805843	11.0	0.0	38.7	27.846186	90.0	0.0	1000.0	1000.0	59999	-6.545318	7.922275	19.288303	-80.976906	-6.5453663	7.92236	18.247494	-81.01342	6.452818	0.9435278	856.8582329750061
16	9.25	0.4330127	10.0	9.0	56.0	41.212864	123.0	17.0	8.3	2.4919872	11.0	4.0	51.7	30.235905	101.0	6.0	1000.0	1000.0	63999	-7.2497087	7.897084	21.386162	-86.435036	-7.2500315	7.896894	20.715693	-86.764626	7.158395	0.9752482	914.2167236804962
17	8.0	1.5811388	10.0	6.0	59.25	21.194044	75.0	23.0	6.5	2.3345234	11.0	4.0	56.8	24.326118	84.0	11.0	1000.0	1000.0	67999	-7.96551	7.950071	19.569273	-85.638504	-7.9651055	7.9504037	18.058968	-85.281944	7.8884835	1.0096718	971.2873616218567
18	8.75	1.47902	11.0	7.0	64.75	3.9607449	68.0	58.0	8.6	1.1999999	11.0	7.0	50.9	38.06166	121.0	0.0	1000.0	1000.0	71999	-8.757036	7.9829416	19.722431	-78.7149	-8.7561865	7.983504	20.094912	-80.69422	8.673685	1.0848707	1028.8722431659698
19	8.25	1.299038	9.0	6.0	34.5	1.5	37.0	33.0	7.6	2.1999998	11.0	5.0	45.5	60.696377	179.0	0.0	1000.0	1000.0	75999	-9.61075	8.061942	17.32042	-88.71955	-9.610598	8.062384	16.545208	-86.059135	9.510546	1.1866218	1086.2084429264069
20	8.0	0.70710677	9.0	7.0	44.5	19.754745	62.0	11.0	6.2	2.9597297	11.0	2.0	52.4	43.197685	137.0	0.0	1000.0	1000.0	79999	-10.3894205	8.193551	16.457962	-96.74155	-10.389352	8.193223	16.131804	-92.31159	10.309524	1.2482034	1143.9831895828247
21	10.25	1.0897248	12.0	9.0	15.0	15.0	30.0	0.0	8.9	1.3000001	11.0	7.0	47.2	26.282312	83.0	0.0	1000.0	1000.0	83999	-11.196226	8.254295	15.511904	-91.02413	-11.195917	8.254702	15.4939785	-88.12561	11.137496	1.2932893	1201.8623442649841
22	9.75	1.7853571	12.0	8.0	26.5	26.537708	55.0	0.0	9.4	1.4966631	11.0	7.0	35.4	30.971601	100.0	0.0	1000.0	1000.0	87999	-11.80621	8.286857	14.170065	-89.857086	-11.806015	8.287343	13.781126	-83.88473	11.716842	1.3226686	1259.697428703308
23	9.0	2.236068	12.0	6.0	38.5	27.299267	82.0	12.0	9.8	0.8717798	11.0	8.0	31.1	15.839507	55.0	0.0	1000.0	1000.0	91999	-12.338073	8.386603	14.802223	-91.28641	-12.337749	8.388035	12.130708	-91.45151	12.255321	1.4043015	1317.2154953479767
24	8.75	1.299038	10.0	7.0	22.75	27.797256	70.0	0.0	9.3	1.2688577	12.0	7.0	53.9	27.057161	89.0	7.0	1000.0	1000.0	95999	-12.876598	8.456321	12.815365	-96.49473	-12.876516	8.456861	12.6680765	-96.75723	12.798804	1.4225473	1374.3783411979675
25	9.25	1.7853571	11.0	7.0	20.5	19.678669	53.0	0.0	6.1	3.3301651	10.0	0.0	28.4	26.0392	81.0	0.0	1000.0	1000.0	99999	-13.340126	8.481172	14.701428	-111.24716	-13.339728	8.48174	10.829432	-107.91621	13.259048	1.4883484	1431.85169839859
26	9.5	0.5	10.0	9.0	30.0	16.20185	52.0	13.0	8.5	2.2022715	11.0	4.0	52.0	51.017643	182.0	0.0	1000.0	1000.0	103999	-13.776454	8.471212	10.557334	-109.13088	-13.776868	8.471185	11.219885	-107.580925	13.706524	1.4664541	1488.8085613250732
27	7.0	4.0620193	10.0	0.0	33.25	22.174028	62.0	0.0	4.4	3.3526108	10.0	0.0	21.6	16.17529	40.0	0.0	1000.0	1000.0	107999	-14.198288	8.431935	12.781637	-115.79844	-14.1981	8.431454	10.360358	-109.089905	14.122388	1.4525181	1545.7191452980042
28	5.75	2.8613808	9.0	2.0	28.5	38.272053	94.0	0.0	7.1	2.8089142	10.0	2.0	30.7	22.343008	85.0	0.0	1000.0	1000.0	111999	-14.502725	8.245946	11.216921	-108.27335	-14.502944	8.24596	9.398298	-114.74845	14.421748	1.4356458	1602.7866530418396
29	8.25	1.299038	10.0	7.0	30.5	29.937435	81.0	5.0	8.0	1.8973665	10.0	3.0	30.0	29.404081	102.0	0.0	1000.0	1000.0	115999	-14.847917	8.101406	11.308206	-112.63459	-14.848062	8.100543	8.352978	-108.408676	14.786084	1.4220691	1661.623999118805
30	6.5	3.2015622	9.0	1.0	20.25	16.452583	45.0	0.0	9.2	1.5362291	11.0	7.0	37.8	33.668385	87.0	0.0	1000.0	1000.0	119999	-15.151833	8.006165	10.323202	-110.66165	-15.151505	8.006572	9.387589	-113.31711	15.099697	1.3882563	1718.8784351348877
31	8.5	1.118034	10.0	7.0	38.75	25.80092	72.0	0.0	8.7	1.7349352	11.0	5.0	51.3	31.003386	87.0	11.0	1000.0	1000.0	123999	-15.416629	7.925431	10.382696	-119.98099	-15.416182	7.925532	9.111605	-120.64014	15.331706	1.4097645	1776.5821061134338
32	8.75	0.8291562	10.0	8.0	45.75	16.857862	72.0	25.0	8.8	1.720465	12.0	6.0	37.5	30.434355	95.0	0.0	1000.0	1000.0	127999	-15.596464	7.8347054	10.739967	-111.14653	-15.596268	7.834754	10.702053	-111.4686	15.522353	1.411714	1833.784407377243
33	9.5	0.8660254	10.0	8.0	32.5	22.852789	69.0	6.0	9.0	1.5491934	11.0	6.0	40.2	30.511637	103.0	0.0	1000.0	1000.0	131999	-15.847693	7.830194	15.81292	-120.86414	-15.847371	7.828945	12.32289	-107.13102	15.782423	1.4718437	1891.325290441513
34	8.0	1.7320508	9.0	5.0	92.25	57.61673	189.0	47.0	9.6	1.496663	12.0	7.0	53.0	35.60618	107.0	0.0	1000.0	1000.0	135999	-16.095345	7.7646604	10.054301	-117.73901	-16.095743	7.7654424	8.659885	-111.67955	16.039188	1.4505324	1950.0443766117096
35	9.25	1.0897248	11.0	8.0	54.5	33.29039	90.0	10.0	9.1	1.0440307	11.0	7.0	48.4	34.296356	128.0	0.0	1000.0	1000.0	139999	-16.35161	7.7476134	8.203119	-121.64764	-16.351364	7.747109	9.314948	-116.19649	16.298473	1.5054932	2007.6339881420135
36	10.0	1.2247449	11.0	8.0	28.5	24.026028	66.0	0.0	8.3	1.4177446	10.0	5.0	65.6	40.618225	125.0	0.0	1000.0	1000.0	143999	-16.642786	7.765332	11.494846	-118.09583	-16.64272	7.764835	9.777507	-113.126816	16.605114	1.4989046	2065.86864566803
37	8.5	0.5	9.0	8.0	59.75	52.580296	149.0	20.0	9.1	1.5779735	12.0	7.0	43.6	15.723866	70.0	16.0	1000.0	1000.0	147999	-16.91624	7.822004	7.5637727	-122.964096	-16.915668	7.821972	6.56849	-119.66256	16.888615	1.5301846	2122.9156081676483
38	9.25	1.0897248	11.0	8.0	49.0	14.3527	61.0	25.0	8.8	0.97979593	10.0	7.0	60.9	22.936651	105.0	25.0	1000.0	1000.0	151999	-17.165783	7.92485	8.332876	-142.86836	-17.165632	7.92529	6.250356	-141.63168	17.120079	1.5627903	2180.4139502048492
