Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	38.5	66.68395	154.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.39789322	0.6081047	3.2642817	-2.7775488	0.3979377	0.60815585	3.2114122	-2.688945	-0.68229276	0.0117044095	56.96469521522522
2	0.0	0.0	0.0	0.0	21.25	30.276848	73.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	7999	1.784393	1.0948682	6.7342134	-5.101727	1.7843832	1.0949078	6.6881337	-4.9565835	-2.1614373	0.024911163	121.58200645446777
3	0.0	0.0	0.0	0.0	60.5	86.28297	208.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	11999	3.1945884	1.707906	12.213253	-5.226948	3.1946325	1.7077922	11.752406	-5.2363224	-3.6194143	0.03611176	185.45797419548035
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	15999	4.0365887	2.6570728	16.610474	-5.441412	4.036591	2.6571844	16.321968	-5.5547485	-4.3604364	0.038907394	250.97450852394104
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	19999	4.2603564	3.3416781	18.119112	-6.2833533	4.2603393	3.3417559	17.058756	-6.5109777	-4.452169	0.03333861	315.3263955116272
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	23999	3.8236647	3.3856556	16.17437	-7.237431	3.8236084	3.3857121	16.422894	-7.2906094	-3.9429862	0.025505878	379.83041644096375
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	27999	3.4005144	3.3088078	16.611145	-7.767432	3.4004865	3.3088672	16.812134	-7.5979066	-3.5677657	0.02324368	444.80377292633057
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	31999	3.426618	3.395811	16.665482	-7.0678945	3.4266806	3.3958008	16.340658	-7.6235027	-3.5881863	0.022053618	509.07664799690247
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	35999	3.3395665	3.489229	16.664528	-6.8677235	3.3395743	3.4892066	16.350634	-6.9055114	-3.4967508	0.021556677	572.8853063583374
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	39999	3.3463912	3.4583979	14.722459	-6.8625774	3.3463953	3.4583848	14.84865	-7.058275	-3.4865396	0.026975017	636.7639441490173
