Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.25	0.4330127	1.0	0.0	36.75	30.408674	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	3999	0.34887004	0.4658534	15.373022	-1.4238154	0.34887204	0.46597704	14.604352	-1.3458197	-0.5643471	0.013965075	50.13270092010498
2	0.5	0.5	1.0	0.0	61.75	34.01746	120.0	34.0	0.0	0.0	0.0	0.0	1.2	3.6000001	12.0	0.0	982.0	1000.0	7999	2.2926106	1.4421334	17.592014	-0.97745734	2.2927065	1.4421526	17.648712	-0.91899514	-2.9424863	0.0487785	107.6685049533844
3	0.0	0.0	0.0	0.0	47.5	52.02163	125.0	0.0	0.0	0.0	0.0	0.0	24.2	71.60279	239.0	0.0	1000.0	1000.0	11999	6.716924	2.5898468	22.548471	-0.35813457	6.7169776	2.5900204	22.193197	-0.30526158	-7.6303725	0.091705106	168.43522667884827
4	0.0	0.0	0.0	0.0	14.5	15.173991	39.0	0.0	0.0	0.0	0.0	0.0	98.5	288.88242	965.0	0.0	1000.0	1000.0	15999	10.264714	3.068264	24.669834	-1.9486034	10.264773	3.0682886	24.92	-0.909847	-10.978401	0.116240986	231.1355185508728
5	0.0	0.0	0.0	0.0	6.75	9.038114	22.0	0.0	0.0	0.0	0.0	0.0	0.4	0.66332495	2.0	0.0	963.5	1000.0	19999	11.516836	2.8193994	24.35496	-2.8450174	11.516873	2.8193927	25.062891	-2.8546185	-12.040824	0.13911127	292.0232698917389
6	0.0	0.0	0.0	0.0	24.0	26.897955	66.0	0.0	0.1	0.29999998	1.0	0.0	123.8	252.97937	754.0	0.0	1000.0	1000.0	23999	11.180395	2.6584947	24.30925	-3.1231248	11.180385	2.658637	24.293846	-3.5461082	-11.583868	0.1145439	352.392466545105
7	0.0	0.0	0.0	0.0	53.0	55.23586	128.0	0.0	0.0	0.0	0.0	0.0	4.5	12.515989	42.0	0.0	1000.0	1000.0	27999	10.851485	2.534153	23.740976	-3.1309302	10.85152	2.5339262	23.703098	-2.4381313	-11.241619	0.09597407	416.4702022075653
8	0.0	0.0	0.0	0.0	52.5	82.5	195.0	0.0	0.0	0.0	0.0	0.0	101.4	270.66183	911.0	0.0	1000.0	1000.0	31999	10.434249	2.720839	26.28216	-3.974725	10.434226	2.7209141	24.66098	-4.768035	-10.821576	0.09979927	477.09952116012573
9	0.0	0.0	0.0	0.0	79.25	114.82024	276.0	0.0	0.1	0.29999998	1.0	0.0	136.5	280.50607	904.0	0.0	1000.0	1000.0	35999	10.9096775	2.538087	23.731564	-4.232185	10.909666	2.5381746	23.677904	-4.1834393	-11.476554	0.101903565	537.1559107303619
10	0.0	0.0	0.0	0.0	95.75	105.11036	274.0	2.0	0.0	0.0	0.0	0.0	78.1	146.25214	494.0	0.0	1000.0	1000.0	39999	11.200459	2.1968539	23.13385	-5.642565	11.200445	2.1970515	23.054241	-5.473526	-11.6491995	0.08560195	600.5041460990906
11	0.0	0.0	0.0	0.0	195.75	250.91669	626.0	4.0	0.0	0.0	0.0	0.0	2.1	3.3	9.0	0.0	977.25	1000.0	43999	10.916135	2.0167844	23.570501	-4.351768	10.916135	2.0169764	22.873846	-4.17566	-11.264911	0.08591741	662.0314238071442
12	0.0	0.0	0.0	0.0	56.75	64.37148	158.0	0.0	0.1	0.29999998	1.0	0.0	2.3	5.367495	18.0	0.0	1000.0	1000.0	47999	10.009743	1.8390356	22.660454	-3.5458217	10.009665	1.8397654	22.86378	-3.2662027	-10.310175	0.07692412	723.9972524642944
13	0.0	0.0	0.0	0.0	6.5	6.98212	18.0	0.0	0.0	0.0	0.0	0.0	25.7	75.10666	251.0	0.0	1000.0	1000.0	51999	9.0780945	1.7147298	23.383923	-3.7388878	9.07796	1.7151961	23.519796	-3.8786297	-9.386533	0.07335124	787.4422833919525
14	0.0	0.0	0.0	0.0	124.0	161.99228	397.0	0.0	0.1	0.29999998	1.0	0.0	9.5	10.911004	36.0	0.0	1000.0	1000.0	55999	8.275696	1.7676	22.46314	-3.6945324	8.275617	1.7681594	21.786154	-3.2130446	-8.613421	0.0728583	847.2391896247864
15	0.25	0.4330127	1.0	0.0	57.25	51.44597	118.0	0.0	0.0	0.0	0.0	0.0	121.1	207.28119	654.0	0.0	982.5	1000.0	59999	7.801027	1.7875737	21.312529	-2.7858887	7.800948	1.7879338	22.949553	-3.341289	-8.181858	0.07314234	904.3692820072174
16	0.25	0.4330127	1.0	0.0	18.25	16.783548	35.0	0.0	0.2	0.4	1.0	0.0	2.3	3.2572994	9.0	0.0	1000.0	1000.0	63999	7.2631307	1.7779526	22.053772	-2.4817133	7.263063	1.7782576	21.408377	-2.6873658	-7.603745	0.07098721	961.2416746616364
17	0.25	0.4330127	1.0	0.0	114.0	148.2616	369.0	1.0	0.0	0.0	0.0	0.0	5.6	6.1838493	17.0	0.0	1000.0	1000.0	67999	6.6178713	1.7252771	23.571556	-2.8367715	6.617819	1.7255839	21.145838	-3.588272	-6.9229274	0.07027944	1019.6165630817413
18	0.0	0.0	0.0	0.0	17.25	28.17246	66.0	0.0	0.0	0.0	0.0	0.0	162.3	308.10162	851.0	0.0	873.75	1000.0	71999	5.960406	1.6792867	20.71623	-1.9214473	5.960302	1.6798053	20.112144	-2.3695798	-6.2494426	0.063708395	1078.791420698166
19	0.0	0.0	0.0	0.0	21.75	28.708666	70.0	0.0	0.0	0.0	0.0	0.0	6.5	9.790301	27.0	0.0	1000.0	1000.0	75999	5.343636	1.5791237	19.474787	-2.840726	5.3434944	1.5796447	19.669762	-2.3119931	-5.6152425	0.05997811	1140.5797448158264
20	0.5	0.8660254	2.0	0.0	3.5	3.7749171	9.0	0.0	0.0	0.0	0.0	0.0	2.8	3.9446166	12.0	0.0	1000.0	1000.0	79999	4.8214073	1.6009697	16.949183	-2.0857787	4.8213696	1.6013572	17.462337	-2.4772015	-5.093384	0.060099892	1201.876428604126
21	0.0	0.0	0.0	0.0	0.25	0.4330127	1.0	0.0	0.0	0.0	0.0	0.0	99.8	281.57303	944.0	0.0	1000.0	1000.0	83999	4.3382087	1.6525646	17.098866	-1.7598567	4.3380632	1.6530304	18.355455	-1.405081	-4.5980096	0.0615423	1260.9987614154816
22	0.25	0.4330127	1.0	0.0	65.25	64.76255	141.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1000.0	1000.0	87999	3.8381102	1.6019789	17.16996	-1.5598203	3.8380327	1.6023645	19.20746	-1.7080438	-4.081975	0.057932585	1318.121819972992
23	0.0	0.0	0.0	0.0	14.0	14.071247	30.0	0.0	0.0	0.0	0.0	0.0	1.9	2.5475478	7.0	0.0	1000.0	1000.0	91999	3.356955	1.51845	14.992727	-1.6805754	3.356693	1.5192444	16.908663	-1.5668416	-3.6128564	0.054817148	1379.9514429569244
24	0.25	0.4330127	1.0	0.0	116.75	114.14985	244.0	3.0	0.0	0.0	0.0	0.0	5.7	13.015759	43.0	0.0	1000.0	1000.0	95999	2.9708087	1.4248528	17.17142	-1.2890532	2.970677	1.4251562	15.516173	-2.0032454	-3.2166715	0.05192755	1439.6944451332092
25	0.25	0.4330127	1.0	0.0	4.25	6.259992	15.0	0.0	0.1	0.29999998	1.0	0.0	47.1	101.167625	318.0	0.0	1000.0	1000.0	99999	2.5619063	1.3408716	15.551592	-1.8600991	2.56193	1.3411734	14.724846	-2.5532184	-2.7904887	0.048820425	1499.6110701560974
26	0.0	0.0	0.0	0.0	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	0.5	1.024695	3.0	0.0	1000.0	1000.0	103999	2.1419313	1.2619038	15.323503	-1.9200956	2.1416397	1.2626957	15.04055	-2.0643988	-2.3624215	0.04976007	1558.2381575107574
27	0.0	0.0	0.0	0.0	1.0	1.2247449	3.0	0.0	0.0	0.0	0.0	0.0	16.2	48.267586	161.0	0.0	1000.0	1000.0	107999	1.7960831	1.1729845	15.82151	-1.9261311	1.7960924	1.1734802	14.895131	-2.1128602	-2.0044017	0.04646058	1615.2586517333984
28	0.0	0.0	0.0	0.0	82.5	127.78204	303.0	0.0	0.0	0.0	0.0	0.0	155.2	310.32043	849.0	0.0	1000.0	1000.0	111999	1.494031	1.1591513	16.06727	-2.6219804	1.4928694	1.1610512	16.236713	-2.2416618	-1.6978308	0.044680387	1672.542380809784
29	0.25	0.4330127	1.0	0.0	0.5	0.8660254	2.0	0.0	0.0	0.0	0.0	0.0	0.7	1.4866068	5.0	0.0	1000.0	1000.0	115999	1.2475399	1.1922736	17.397137	-2.6695073	1.2475221	1.1927775	17.52139	-2.4469323	-1.4655017	0.047151	1729.348060131073
30	0.0	0.0	0.0	0.0	1.0	1.7320508	4.0	0.0	0.0	0.0	0.0	0.0	7.4	12.807811	37.0	0.0	1000.0	1000.0	119999	1.0782818	1.3045722	14.742376	-2.9341207	1.078304	1.3050315	15.1761875	-2.9786997	-1.3136373	0.051618528	1785.9536600112915
31	0.0	0.0	0.0	0.0	5.0	8.6602545	20.0	0.0	0.0	0.0	0.0	0.0	3.6	9.254189	31.0	0.0	1000.0	1000.0	123999	0.98187315	1.3904737	16.72687	-2.768079	0.9819487	1.3908677	16.009638	-2.5065827	-1.2099929	0.05081467	1846.0556473731995
32	0.0	0.0	0.0	0.0	1.5	2.0615528	5.0	0.0	0.0	0.0	0.0	0.0	88.0	261.0069	871.0	0.0	1000.0	1000.0	127999	0.8417015	1.4706211	17.333593	-3.7155068	0.84143424	1.4712113	16.330793	-3.5392168	-1.0727823	0.053453997	1904.163479089737
33	0.25	0.4330127	1.0	0.0	22.25	31.387697	76.0	0.0	0.0	0.0	0.0	0.0	93.6	266.54688	893.0	0.0	1000.0	1000.0	131999	0.65620106	1.438877	15.448849	-4.063924	0.6563571	1.4392256	15.888484	-4.057719	-0.8829812	0.050794177	1961.9316527843475
34	0.0	0.0	0.0	0.0	26.0	30.667572	75.0	0.0	0.0	0.0	0.0	0.0	10.0	21.31666	72.0	0.0	1000.0	1000.0	135999	0.4975431	1.4458637	15.777792	-4.6929135	0.49757093	1.4462465	15.250391	-4.5268345	-0.72702175	0.05141504	2021.2472131252289
