Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	81.75	82.22644	176.0	0.0	0.0	0.0	0.0	0.0	1.1	3.3	11.0	0.0	1000.0	1000.0	3999	-0.040026158	0.1471615	0.8276911	-0.91250414	-0.04002146	0.14712757	0.82798123	-0.90864	0.011766667	0.00039737255	47.67700481414795
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6	2.9393876	11.0	1.0	49.7	24.767117	76.0	11.0	1000.0	1000.0	7999	0.14050657	0.34226632	2.1416123	-0.97237796	0.14050187	0.3422297	2.1373863	-0.9842872	-0.17637189	0.0005797823	105.56500768661499
3	0.75	1.299038	3.0	0.0	51.25	52.04025	133.0	0.0	0.0	0.0	0.0	0.0	48.7	21.9	104.0	28.0	1000.0	1000.0	11999	0.63212514	0.54758483	10.322208	-0.8570168	0.6320321	0.5475529	10.169652	-0.85493535	-0.7108738	0.014584328	162.75491428375244
4	2.5	1.118034	4.0	1.0	99.0	39.742924	146.0	41.0	4.3	3.3778691	9.0	0.0	66.4	35.182953	130.0	2.0	1000.0	1000.0	15999	1.2209924	0.9878297	15.751199	-1.1958373	1.2207743	0.9888411	16.154024	-1.3217868	-1.2983123	0.029612895	216.75065159797668
5	6.75	3.0310888	11.0	3.0	73.75	10.059199	84.0	59.0	6.4	2.6532998	10.0	2.0	61.7	23.375416	83.0	10.0	1000.0	1000.0	19999	1.890573	1.6975483	20.924213	-1.7505155	1.8901831	1.6986638	20.76864	-1.6212859	-1.9919571	0.0537852	267.02057933807373
6	10.0	0.70710677	11.0	9.0	38.5	40.549355	95.0	0.0	9.9	1.7	12.0	7.0	91.2	48.207466	171.0	31.0	1000.0	1000.0	23999	2.906582	2.4195554	23.400526	-2.3044543	2.9063666	2.4199388	23.330238	-2.446673	-3.028	0.08925156	318.4789168834686
7	9.75	1.47902	12.0	8.0	64.75	31.9482	116.0	30.0	10.5	2.3345234	13.0	6.0	66.6	51.82895	165.0	8.0	1000.0	1000.0	27999	4.042726	3.0710447	28.717583	-3.0756469	4.042649	3.0715446	29.427588	-2.7628894	-4.186093	0.0981055	371.17408442497253
8	7.75	3.269174	13.0	4.0	55.25	27.770264	91.0	23.0	11.0	2.04939	14.0	7.0	55.7	27.044592	118.0	28.0	1000.0	1000.0	31999	5.144936	3.4926207	30.409353	-3.9238143	5.14482	3.493186	30.870173	-3.8330061	-5.3111787	0.10974242	422.9530920982361
9	10.75	2.4874685	15.0	9.0	66.75	8.257572	78.0	55.0	11.0	3.1622777	14.0	3.0	43.1	33.35401	97.0	0.0	1000.0	1000.0	35999	6.219529	3.8250132	32.868374	-4.0795717	6.2192283	3.8257496	33.629208	-4.1755753	-6.3838563	0.14196764	478.577778339386
10	10.75	1.299038	12.0	9.0	74.25	60.54492	179.0	35.0	9.8	3.1874754	13.0	2.0	147.5	235.06563	810.0	0.0	1000.0	1000.0	39999	7.2715893	4.0060134	32.769367	-3.9583635	7.2712164	4.007305	32.43151	-3.8759596	-7.4477124	0.16536699	529.6058149337769
11	9.75	0.8291562	11.0	9.0	85.0	31.024183	116.0	42.0	11.3	1.7916472	14.0	7.0	55.8	28.767342	82.0	0.0	1000.0	1000.0	43999	8.2467	4.118387	32.17725	-5.6736655	8.24628	4.119671	32.4078	-5.742463	-8.418955	0.1870979	579.3839111328125
12	11.25	1.299038	12.0	9.0	64.25	45.504807	140.0	19.0	11.8	1.1661904	14.0	10.0	40.3	28.893078	87.0	0.0	1000.0	1000.0	47999	9.118235	4.1462245	34.363102	-7.315572	9.117907	4.147654	35.894634	-7.258831	-9.297313	0.20698087	630.3370113372803
13	12.0	0.70710677	13.0	11.0	51.75	21.695333	89.0	35.0	10.0	3.5777087	14.0	0.0	66.0	36.878178	125.0	0.0	1000.0	1000.0	51999	9.868753	4.1702347	39.404377	-7.3030305	9.868357	4.171652	40.295143	-7.2844257	-10.059844	0.23388089	680.368560552597
14	10.75	0.8291562	12.0	10.0	69.5	17.066048	96.0	54.0	8.9	4.2766805	13.0	0.0	40.2	31.03482	96.0	0.0	1000.0	1000.0	55999	10.530716	4.1926966	40.87863	-6.44949	10.530425	4.193932	41.123085	-6.466835	-10.713331	0.2486289	730.9373037815094
15	10.5	1.118034	12.0	9.0	67.75	25.390697	111.0	47.0	9.7	3.7696152	14.0	1.0	49.7	38.13935	108.0	0.0	1000.0	1000.0	59999	11.06651	4.271149	42.47928	-5.5977397	11.06489	4.2759953	42.531303	-6.425559	-11.234479	0.2685559	783.505254983902
16	11.0	1.2247449	13.0	10.0	30.75	27.967615	69.0	3.0	10.8	2.3579652	14.0	6.0	55.4	48.185474	156.0	0.0	1000.0	1000.0	63999	11.504225	4.322107	41.46496	-5.343019	11.5037775	4.3239503	42.138935	-5.641742	-11.673785	0.27590275	839.0719962120056
17	11.75	1.0897248	13.0	10.0	42.75	34.52083	102.0	16.0	10.2	3.4583235	14.0	2.0	41.9	20.815619	66.0	0.0	1000.0	1000.0	67999	11.938155	4.317264	41.881622	-6.3788896	11.937945	4.318045	41.487736	-6.693088	-12.109679	0.28556705	893.2464802265167
