Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.29999998	1.0	0.0	47.0	57.752922	187.0	0.0	1000.0	1000.0	3999	-0.0526247	0.08697233	0.29450804	-0.6091218	-0.052604806	0.08690953	0.24854143	-0.64421433	0.043502487	0.0003391812	45.2083466053009
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.979796	3.0	0.0	40.1	67.98007	222.0	0.0	1000.0	1000.0	7999	0.09778625	0.1939477	1.3239406	-0.64315194	0.09777973	0.19393516	1.3231483	-0.6422162	-0.13837148	0.00034580356	97.23002362251282
3	1.5	1.6583124	4.0	0.0	20.75	20.992558	46.0	0.0	2.7	2.531798	7.0	0.0	76.1	38.066917	151.0	13.0	1000.0	1000.0	11999	0.48923555	0.34026143	10.692578	-2.5399625	0.4896137	0.33882546	10.90846	-1.4755253	-0.55202216	0.022887599	150.50453352928162
4	2.25	1.0897248	4.0	1.0	53.5	34.6013	90.0	0.0	1.8	1.8330302	5.0	0.0	165.9	245.37296	802.0	0.0	1000.0	1000.0	15999	1.0613978	0.9200957	16.565605	-8.910354	1.0620285	0.9171143	15.598484	-8.836179	-1.1462791	0.08033841	204.63579058647156
5	7.5	4.5	14.0	2.0	53.0	48.010414	126.0	0.0	6.4	2.7640548	9.0	2.0	77.3	55.43113	157.0	0.0	1000.0	1000.0	19999	1.4824172	1.6311176	14.637712	-12.644727	1.4799527	1.6365111	15.023664	-12.577183	-1.598208	0.1343107	258.53583574295044
6	4.0	2.828427	8.0	0.0	53.0	31.835514	85.0	0.0	3.3	2.8999999	9.0	0.0	65.3	75.65586	268.0	0.0	1000.0	1000.0	23999	1.8521012	2.4123483	18.82243	-12.904809	1.8526025	2.412256	19.061758	-12.850165	-2.0211828	0.15346448	312.9926722049713
7	4.5	2.598076	8.0	2.0	142.0	171.8895	430.0	0.0	5.3	3.377869	10.0	0.0	43.4	39.398476	121.0	0.0	1000.0	1000.0	27999	2.1882143	3.2055674	18.68218	-15.452223	2.188013	3.2058537	18.424988	-14.98217	-2.38962	0.18162778	366.40167331695557
8	6.75	2.6809514	11.0	4.0	74.75	47.177193	145.0	16.0	3.5	2.9410882	9.0	0.0	75.4	111.39677	386.0	0.0	1000.0	1000.0	31999	2.5460758	3.9891703	18.933256	-17.053782	2.5457215	3.9898403	18.566685	-17.232882	-2.763477	0.23411413	420.63682651519775
9	6.0	3.6055512	11.0	1.0	28.5	31.052376	81.0	0.0	2.3	1.9	6.0	0.0	152.4	210.1115	548.0	0.0	1000.0	1000.0	35999	2.8916163	4.5394454	19.947018	-21.802158	2.891342	4.540642	19.207666	-21.165777	-3.1489015	0.27937597	474.9607310295105
10	7.25	1.9202864	10.0	5.0	130.75	107.38104	252.0	0.0	3.2	4.9152822	16.0	0.0	146.8	250.36047	850.0	0.0	1000.0	1000.0	39999	3.3228838	4.686232	22.6876	-24.645771	3.3224192	4.687428	22.124622	-23.649942	-3.585871	0.32608983	529.1628732681274
11	6.75	4.0233693	11.0	1.0	24.0	15.247951	41.0	0.0	5.0	2.236068	9.0	1.0	52.1	147.83669	495.0	0.0	1000.0	1000.0	43999	3.5414772	4.927333	24.585123	-28.507763	3.5396512	4.9299946	25.675573	-26.787569	-3.8010733	0.3800973	583.0813879966736
12	5.0	3.8078866	10.0	0.0	49.25	73.15523	175.0	0.0	4.0	3.2557642	10.0	1.0	72.6	127.45917	359.0	0.0	1000.0	1000.0	47999	3.8907738	5.1312613	24.399565	-27.301884	3.889457	5.1335344	24.068735	-27.078573	-4.1585	0.42968345	637.3039793968201
13	7.5	2.598076	10.0	4.0	82.75	44.99097	139.0	14.0	4.3	4.382921	13.0	0.0	51.5	81.61403	276.0	0.0	1000.0	1000.0	51999	4.030477	5.3416963	25.033297	-29.24094	4.028729	5.3442736	24.006891	-29.29184	-4.3099027	0.48785913	691.8641910552979
